hs_code,Description,Related Companies,related_company_ticker
121120,"인삼(Ginseng), 생것 또는 건조한 것",KGC인삼공사,비상장
121221,"해조류(김 등), 건조되었으나 조리되지 않은 것",사조씨푸드,014710
151550,참기름 (Sesame oil and its fractions),샘표,007540
151590,기타 식물성 유류 (Other refined vegetable oils),"삼양사, CJ제일제당","097950, 145990"
170199,기타 설탕 (Refined sugar excluding cane/beet sugar),CJ제일제당,097950
190230,"파스타류 (Pasta such as spaghetti, macaroni)","삼양식품, 오뚜기","003230, 007310"
190590,"기타 밀가루 기반 조제품 (예: 시리얼바, 믹스)",삼양사,145990
200599,기타 조리된 채소 제품 (Pickled or preserved vegetables),동원F&B,049770
200830,"감귤류 잼, 젤리 및 기타 조제품",알 수 없음,N/A
200899,기타 과일·견과류의 조제품,알 수 없음,N/A
210111,인스턴트 커피 (Instant coffee preparations),동서식품,비상장
210390,"기타 조제 식품류 (소스, 조미료 등)",CJ제일제당,097950
210690,기타 조제 식료품 (기타 식품 완제품),오리온,271560
220299,"기타 무알콜 음료 (Non-alcoholic beverages, nes)",롯데칠성음료,005300
220890,기타 주류 (기타 증류주 포함),하이트진로,000080
230910,"반려동물 사료 (Dog or cat food, put up for retail sale)",사조동아원,008040
240220,"반려동물 사료 (Dog or cat food, put up for retail sale)",알 수 없음,N/A
260300,필터담배 (Cigarettes containing tobacco),KT&G,033780
270730,구리광 및 정광 (Copper ores and concentrates),알 수 없음,N/A
270750,"자연 아스팔트 및 역청 (Pitch, asphalt etc.)",알 수 없음,N/A
270799,기타 석유 및 역청유,"S-OIL, 현대오일뱅크","010950, 비상장"
271012,휘발유 (자동차용),"GS칼텍스, SK에너지","078930, 096770"
271019,"경유, 등유 등 석유류","에쓰오일, SK이노베이션","010950, 096770"
271113,천연가스 (액화),한국가스공사,036460
271119,액화되지 않은 천연가스,한국가스공사,036460
271320,석유코크,SK에너지,096770
280300,탄소 (카본블랙 등),OCI,010060
280700,황,한화솔루션,009830
281512,나트륨 수산화물 (고체),LG화학,051910
281520,칼륨 수산화물,LG화학,051910
282110,산화철,동국제강,001230
282520,리튬 산화물 및 수산화물,에코프로비엠,247540
283324,황산 나트륨,금호석유화학,011780
283691,불화물,솔브레인,357780
283711,시안화물,LG화학,051910
284190,기타 산화물·수산화물,LG화학,51910
290121,에틸렌,롯데케미칼,011170
290122,프로필렌,LG화학,051910
290124,부타디엔,한화솔루션,009830
290220,벤젠,롯데케미칼,011170
290230,톨루엔 (Toluene),LG화학,051910
290241,톨루엔 (Toluene),한화솔루션,009830
290243,o-자일렌 (o-Xylene),롯데케미칼,011170
290250,m-자일렌 (m-Xylene),GS칼텍스,비상장 또는 없음
290315,스티렌 (Styrene),LG화학,051910
290516,스티렌 (Styrene),한화솔루션,009830
290531,디클로로메탄 (Dichloromethane),금호석유화학,011780
290539,알코올 (Octanol),대한유화,006650
290723,프로필렌 글리콜,롯데정밀화학,004000
291736,기타 글리콜류,이수화학,005950
291739,기타 방향족 알코올,OCI,010060
292610,테레프탈산 (TPA),효성티앤씨,298020
292910,기타 방향족 카복실산,한화케미칼,009830
293190,아크릴아마이드,LG화학,051910
293299,이소시아네이트,금호폴리켐,비상장 또는 없음
293399,기타 유기화학물,SK케미칼,285130
293499,기타 이성화화합물,삼양사,145990
294130,기타 질소 화합물,LG화학,051910
294190,기타 황 화합물,한솔케미칼,014680
300212,테트라사이클린류 항생물질,유한양행,000100
300214,기타 항생물질,대웅제약,069620
300215,기타 혈액제제,한미약품,128940.KQ
300249,기타 완제 의약품,종근당,185750.KQ
300490,기타 의약품 조제품,셀트리온,068270.KQ
300640,의료기기류,오스템임플란트,048260.KQ
310520,질소-인-칼륨 복합비료,남해화학,025860.KQ
320417,기타 유기염료,애경케미칼,161000.KQ
320490,기타 염료류,삼양사,145990.KQ
320730,광학표백제,미원상사,002840.KQ
320890,기타 페인트·바니시,노루페인트,090350.KQ
321410,퍼티류,삼화페인트,000390.KQ
321519,기타 잉크류,세화아이엠씨,101000.KQ
