,hs_code
0,121120
1,151550
2,151590
3,170199
4,190230
5,190590
6,200599
7,200830
8,200899
9,210111
10,210390
11,210690
12,220890
13,230910
14,240220
15,260300
16,270730
17,270750
18,270799
19,271019
20,271113
21,271119
22,271320
23,280300
24,280700
25,281512
26,281520
27,282110
28,282520
29,283324
30,283691
31,283711
32,284190
33,290121
34,290122
35,290124
36,290220
37,290230
38,290241
39,290243
40,290250
41,290315
42,290516
43,290531
44,290539
45,290723
46,291736
47,291739
48,292610
49,292910
50,293299
51,293399
52,293499
53,294130
54,294190
55,300490
56,300640
57,310520
58,320417
59,320490
60,320730
61,320890
62,321410
63,321519
64,330410
65,330420
66,330499
67,330510
68,330590
69,330610
70,330790
71,340130
72,340290
73,340420
74,350610
75,350691
76,350790
77,360610
78,370199
79,370790
80,380891
81,380892
82,381400
83,381800
84,382490
85,390110
86,390120
87,390130
88,390190
89,390210
90,390220
91,390230
92,390290
93,390319
94,390320
95,390330
96,390390
97,390410
98,390610
99,390690
100,390710
101,390730
102,390740
103,390799
104,390810
105,390950
106,391000
107,391110
108,391190
109,391239
110,391810
111,391910
112,391990
113,392010
114,392020
115,392049
116,392051
117,392062
118,392099
119,392119
120,392190
121,392310
122,392321
123,392330
124,392390
125,392630
126,392690
127,400219
128,400220
129,400251
130,400259
131,400270
132,401110
133,401120
134,401693
135,401699
136,410792
137,470329
138,470710
139,480511
140,480990
141,481019
142,481092
143,481190
144,490199
145,540211
146,540247
147,540249
148,540752
149,540761
150,540792
151,550320
152,560122
153,560394
154,560749
155,590320
156,590390
157,591110
158,600410
159,600622
160,600632
161,610910
162,621710
163,621790
164,630293
165,630710
166,630900
167,680421
168,690919
169,691490
170,700319
171,700490
172,700529
173,700600
174,701349
175,702000
176,710510
177,710610
178,710691
179,710812
180,710813
181,711021
182,711292
183,711319
184,711890
185,720270
186,720712
187,720826
188,720827
189,720836
190,720837
191,720838
192,720839
193,720851
194,720852
195,720916
196,720917
197,720918
198,721012
199,721030
200,721049
201,721061
202,721069
203,721070
204,721240
205,721391
206,721633
207,721710
208,721730
209,721912
210,721913
211,721933
212,721934
213,722020
214,722300
215,722519
216,722530
217,722550
218,722592
219,722599
220,722790
221,722830
222,722990
223,730511
224,730512
225,730531
226,730629
227,730630
228,730640
229,730729
230,730791
231,730793
232,730799
233,730840
234,730890
235,730900
236,731100
237,731210
238,731815
239,731816
240,732182
241,732290
242,732690
243,740200
244,740311
245,740321
246,740400
247,740721
248,740811
249,740819
250,740911
251,740921
252,740990
253,741011
254,741021
255,741110
256,741999
257,760120
258,760612
259,760711
260,761090
261,761699
262,780110
263,780199
264,790111
265,790112
266,790120
267,820730
268,820740
269,820750
270,820770
271,820900
272,830230
273,831120
274,840310
275,840410
276,840510
277,840690
278,840733
279,840734
280,840810
281,840890
282,840991
283,840999
284,841112
285,841191
286,841221
287,841229
288,841330
289,841360
290,841370
291,841391
292,841410
293,841430
294,841459
295,841480
296,841490
297,841510
298,841590
299,841810
300,841830
301,841840
302,841869
303,841899
304,841939
305,841940
306,841950
307,841989
308,841990
309,842121
310,842131
311,842139
312,842199
313,842211
314,842410
315,842489
316,842611
317,842691
318,842710
319,842720
320,842810
321,842833
322,842839
323,842890
324,842951
325,842952
326,843041
327,843069
328,843120
329,843139
330,843149
331,844332
332,844339
333,844399
334,845020
335,845090
336,845129
337,845521
338,845710
339,845730
340,845811
341,845891
342,845899
343,846229
344,846693
345,846729
346,847130
347,847150
348,847160
349,847290
350,847330
351,847710
352,847950
353,847982
354,847989
355,847990
356,848071
357,848110
358,848120
359,848180
360,848190
361,848210
362,848220
363,848299
364,848310
365,848340
366,848350
367,848390
368,848610
369,848620
370,848630
371,848640
372,848690
373,848790
374,850110
375,850131
376,850153
377,850213
378,850300
379,850421
380,850422
381,850423
382,850434
383,850440
384,850450
385,850490
386,850650
387,850710
388,850790
389,850819
390,851140
391,851220
392,851290
393,851580
394,851590
395,851660
396,851762
397,851770
398,851780
399,852190
400,852329
401,852351
402,852491
403,852499
404,852580
405,852610
406,852721
407,852851
408,852859
409,852872
410,852910
411,852990
412,853224
413,853340
414,853400
415,853529
416,853530
417,853620
418,853649
419,853650
420,853669
421,853690
422,853710
423,853720
424,853890
425,854110
426,854121
427,854129
428,854231
429,854232
430,854233
431,854239
432,854290
433,854370
434,854390
435,854411
436,854420
437,854430
438,854442
439,854449
440,854460
441,854470
442,854710
443,854720
444,854890
445,860310
446,860900
447,870210
448,870321
449,870322
450,870323
451,870324
452,870332
453,870333
454,870421
455,870422
456,870829
457,870830
458,870840
459,870850
460,870870
461,870880
462,870893
463,870894
464,870895
465,870899
466,871000
467,880240
468,890110
469,890120
470,890190
471,890590
472,900120
473,900130
474,900190
475,900211
476,900290
477,900691
478,901210
479,901320
480,901390
481,901812
482,901819
483,901832
484,901849
485,901890
486,902129
487,902190
488,902213
489,902214
490,902219
491,902290
492,902610
493,902620
494,902710
495,902750
496,902790
497,902920
498,903040
499,903082
500,903090
501,903141
502,903149
503,903180
504,903190
505,903289
506,940130
507,940330
508,940540
509,950300
510,840130
511,860500
512,847521
513,1212
514,1518
515,1902
516,1905
517,2008
518,2103
519,2106
520,2202
521,2402
522,2707
523,2710
524,2711
525,2713
526,2803
527,2815
528,2825
529,2841
530,2901
531,2902
532,2903
533,2905
534,2907
535,2917
536,2929
537,2931
538,2933
539,2934
540,3002
541,3004
542,3204
543,3207
544,3208
545,3304
546,3305
547,3307
548,3401
549,3402
550,3506
551,3707
552,3808
553,3818
554,3822
555,3824
556,3901
557,3902
558,3903
559,3904
560,3906
561,3907
562,3908
563,3909
564,3911
565,3912
566,3917
567,3918
568,3919
569,3920
570,3921
571,3923
572,3926
573,4002
574,4011
575,4016
576,4202
577,4810
578,4811
579,4901
580,5402
581,5407
582,5503
583,5603
584,5903
585,6004
586,6005
587,6006
588,6109
589,6217
590,6309
591,7004
592,7006
593,7106
594,7108
595,7110
596,7113
597,7114
598,7202
599,7208
600,7209
601,7210
602,7216
603,7219
604,7225
605,7228
606,7305
607,7306
608,7307
609,7308
610,7312
611,7318
612,7326
613,7403
614,7404
615,7407
616,7408
617,7409
618,7410
619,7411
620,7601
621,7606
622,7607
623,7616
624,7801
625,7901
626,8207
627,8209
628,8302
629,8402
630,8407
631,8408
632,8409
633,8411
634,8412
635,8413
636,8414
637,8415
638,8418
639,8419
640,8421
641,8422
642,8424
643,8427
644,8428
645,8429
646,8431
647,8443
648,8450
649,8451
650,8457
651,8458
652,8462
653,8466
654,8471
655,8473
656,8477
657,8479
658,8480
659,8481
660,8482
661,8483
662,8486
663,8501
664,8502
665,8503
666,8504
667,8507
668,8511
669,8512
670,8514
671,8515
672,8516
673,8517
674,8523
675,8525
676,8526
677,8528
678,8529
679,8532
680,8534
681,8535
682,8536
683,8537
684,8538
685,8541
686,8542
687,8543
688,8544
689,8701
690,8702
691,8703
692,8704
693,8708
694,8802
695,8901
696,9001
697,9002
698,9013
699,9018
700,9021
701,9022
702,9027
703,9030
704,9031
705,9032
706,9301
707,9306
708,9401
709,121221
710,271012
711,293190
712,382600
713,731940
714,850760
715,852349
716,220299
717,300212
718,300214
719,300215
720,370500
721,381239
722,382499
723,390140
724,390761
725,390769
726,390931
727,600537
728,845611
729,852852
730,870191
731,870192
732,870193
733,870340
734,870360
735,870380
736,2404
737,300249
738,382219
739,390729
740,620240
741,681511
742,741980
743,846242
744,846262
745,846290
746,851419
747,851713
748,851779
749,8524
750,852411
751,852412
752,852492
753,852589
754,854141
755,854142
756,854143
757,854149
758,854159
759,8807
760,880730
761,902789
762,940199
763,970191
