forecast_date,SARIMA,ETS,Prophet,LSTM
2025-09-30,81725896763.3804,80832108405.76619,76007933932.53337,72503780000.0
2025-12-31,79112009590.81548,79240127045.11852,76579689172.75275,72339140000.0
2026-03-31,81836033017.7215,78982990154.46901,77139014951.22823,72602755000.0
2026-06-30,80698384599.64201,78356401259.73367,77704555460.57565,73213480000.0
2026-09-30,86720248260.96605,84027486526.69792,78276310700.79504,74043160000.0
2026-12-31,84001293383.81155,82435505166.05023,78848065941.01442,74447100000.0
2027-03-31,86981659599.27742,82178368275.40073,79407391719.48988,74865610000.0
2027-06-30,84441724011.14671,81551779380.6654,79972932228.83733,75105665000.0
2027-09-30,90927835379.65944,87222864647.62964,80544687469.0567,75228450000.0
2027-12-31,88251753624.25044,85630883286.98195,81116442709.2761,75029820000.0
2028-03-31,91127518567.37064,85373746396.33246,81681983218.62352,75012680000.0
2028-06-30,89159789527.37589,84747157501.59712,82247523727.97095,74756596000.0
