SARIMA,ETS,Theta,Ensemble,ticker,date
9062402924.229216,6937737218.401387,12782475050.52091,9594205064.383837,396690,2026-03-31
15547539990.786285,7762943019.399118,12910533919.057674,12073672309.74769,396690,2026-06-30
639316914.958065,7892450237.185612,13038592787.59444,7190119979.912705,396690,2026-09-30
28414005040.7783,7323413439.128609,13166651656.131205,16301356712.012703,396690,2026-12-31
-17989800908.566483,7396930307.22967,13294710524.667969,900613307.7770519,396690,2027-03-31
61996423484.96988,8222136108.227401,13422769393.204735,27880442995.467335,396690,2027-06-30
-82018182248.11023,8351643326.013893,13550828261.741499,-20038570220.118282,396690,2027-09-30
171652361193.44873,7782606527.95689,13678887130.278263,64371284950.56129,396690,2027-12-31
-270259892215.31287,7856123396.057952,13806945998.81503,-82865607606.8133,396690,2028-03-31
1.2909091813374588e+29,5439819076.613658,3298313901.6119432,4.303030604458196e+28,397030,2025-09-30
8.450508766994259e+30,52193513.18968654,3435977811.3863792,2.816836255664753e+30,397030,2025-12-31
5.531845264828057e+32,1655182125.2023928,3573641721.1608152,1.8439484216093522e+32,397030,2026-03-31
3.6212390138594095e+34,536172695.0115528,3711305630.935251,1.20707967128647e+34,397030,2026-06-30
2.3705240055923845e+36,5522056593.281271,3848969540.709687,7.901746685307948e+35,397030,2026-09-30
1.5517849110713048e+38,134431029.8572998,3986633450.484123,5.172616370237683e+37,397030,2026-12-31
1.0158245200418541e+40,1737419641.8700058,4124297360.258559,3.386081733472847e+39,397030,2027-03-31
6.649758276138099e+41,618410211.6791661,4261961270.032995,2.216586092046033e+41,397030,2027-06-30
4.353043686053691e+43,5604294109.948884,4399625179.807431,1.451014562017897e+43,397030,2027-09-30
11768354523.16129,10320298126.713367,12195926471.329563,11428193040.401407,400760,2026-03-31
17112763433.772814,10160409514.512491,12204436747.562407,13159203231.949236,400760,2026-06-30
18426615795.948784,10392738420.9057,12212947023.795248,13677433746.883245,400760,2026-09-30
16432826567.481838,11042097449.844019,12221457300.028091,13232127105.78465,400760,2026-12-31
15318110771.766346,10316731832.863441,12229967576.260935,12621603393.630241,400760,2027-03-31
19906000824.52124,10156843220.662563,12238477852.493778,14100440632.559195,400760,2027-06-30
21359086263.20799,10389172127.055773,12246988128.726622,14665082172.996796,400760,2027-09-30
20034477380.812508,11038531155.994093,12255498404.959465,14442835647.255356,400760,2027-12-31
19337838212.047646,10313165539.013514,12264008681.192307,13971670810.751154,400760,2028-03-31
2353235294751.691,3496051217459.8433,2718634787098.5684,2855973766436.7007,402340,2025-12-31
2816437746814.219,2845621760008.339,2771856672392.686,2811305393071.748,402340,2026-03-31
