ticker,error
0037T0,데이터 부족: 3개
009900,데이터 부족: 39개
010400,데이터 부족: 47개
013890,데이터 부족: 41개
016790,데이터 부족: 46개
017860,데이터 부족: 31개
019660,데이터 부족: 38개
026890,데이터 부족: 40개
032300,데이터 부족: 41개
037030,데이터 부족: 46개
044990,데이터 부족: 25개
050960,데이터 부족: 47개
053080,데이터 부족: 40개
058970,데이터 부족: 30개
059270,데이터 부족: 44개
060850,데이터 부족: 39개
062040,데이터 부족: 28개
062970,데이터 부족: 45개
063760,데이터 부족: 47개
065370,데이터 부족: 38개
066360,데이터 부족: 47개
067370,데이터 부족: 37개
068100,데이터 부족: 27개
079900,데이터 부족: 29개
080720,데이터 부족: 47개
081180,데이터 부족: 28개
084440,데이터 부족: 32개
084850,데이터 부족: 41개
086710,데이터 부족: 40개
088280,데이터 부족: 25개
088340,데이터 부족: 28개
089970,데이터 부족: 44개
091810,데이터 부족: 44개
092790,데이터 부족: 32개
096250,데이터 부족: 33개
098070,데이터 부족: 29개
099390,데이터 부족: 29개
099430,데이터 부족: 33개
099750,데이터 부족: 45개
100590,데이터 부족: 44개
100790,데이터 부족: 44개
101360,데이터 부족: 36개
102370,데이터 부족: 34개
103840,데이터 부족: 43개
104620,데이터 부족: 42개
105760,데이터 부족: 25개
107600,데이터 부족: 24개
107640,데이터 부족: 29개
108490,데이터 부족: 38개
109670,데이터 부족: 30개
110790,데이터 부족: 45개
110990,데이터 부족: 46개
111380,데이터 부족: 30개
111710,데이터 부족: 46개
112290,데이터 부족: 32개
115180,데이터 부족: 46개
117730,데이터 부족: 41개
118990,데이터 부족: 44개
122310,데이터 부족: 42개
124560,데이터 부족: 40개
125020,데이터 부족: 28개
125210,데이터 부족: 41개
126340,데이터 부족: 38개
126720,데이터 부족: 35개
126730,데이터 부족: 28개
127980,데이터 부족: 30개
128540,데이터 부족: 39개
129890,데이터 부족: 28개
129920,데이터 부족: 33개
136150,데이터 부족: 24개
136410,데이터 부족: 30개
137080,데이터 부족: 37개
137310,데이터 부족: 32개
139990,데이터 부족: 38개
140430,데이터 부족: 21개
140670,데이터 부족: 44개
144510,데이터 부족: 45개
145170,데이터 부족: 30개
146060,데이터 부족: 32개
146320,데이터 부족: 21개
148150,데이터 부족: 38개
148250,데이터 부족: 46개
148780,데이터 부족: 28개
148930,데이터 부족: 28개
153710,데이터 부족: 38개
154030,데이터 부족: 40개
156100,데이터 부족: 45개
158430,데이터 부족: 35개
159010,데이터 부족: 34개
160190,데이터 부족: 27개
161580,데이터 부족: 43개
163280,데이터 부족: 10개
163730,데이터 부족: 29개
166090,데이터 부족: 46개
168360,데이터 부족: 25개
169330,데이터 부족: 35개
172670,데이터 부족: 36개
173130,데이터 부족: 39개
174900,데이터 부족: 46개
175140,데이터 부족: 47개
176750,데이터 부족: 23개
177900,데이터 부족: 22개
178320,데이터 부족: 46개
178780,데이터 부족: 47개
179290,데이터 부족: 44개
179530,데이터 부족: 26개
179900,데이터 부족: 42개
180400,데이터 부족: 46개
183300,데이터 부족: 43개
183490,데이터 부족: 46개
184230,데이터 부족: 42개
186230,데이터 부족: 43개
187660,데이터 부족: 23개
187870,데이터 부족: 45개
188040,데이터 부족: 15개
188260,데이터 부족: 18개
189330,데이터 부족: 33개
190650,데이터 부족: 44개
192080,데이터 부족: 43개
192650,데이터 부족: 46개
192820,데이터 부족: 47개
194700,데이터 부족: 47개
195500,데이터 부족: 40개
195870,데이터 부족: 44개
195940,데이터 부족: 33개
196300,데이터 부족: 46개
196450,데이터 부족: 46개
197140,데이터 부족: 41개
198080,데이터 부족: 37개
198440,데이터 부족: 42개
198940,데이터 부족: 34개
199430,데이터 부족: 28개
199480,데이터 부족: 18개
199550,데이터 부족: 16개
199730,데이터 부족: 22개
199800,데이터 부족: 28개
199820,데이터 부족: 35개
200350,데이터 부족: 27개
200880,데이터 부족: 45개
201490,데이터 부족: 44개
203650,데이터 부족: 41개
204020,데이터 부족: 43개
204270,데이터 부족: 44개
204320,데이터 부족: 45개
204610,데이터 부족: 31개
204620,데이터 부족: 41개
204630,데이터 부족: 45개
204840,데이터 부족: 40개
205470,데이터 부족: 37개
205500,데이터 부족: 42개
206400,데이터 부족: 45개
206560,데이터 부족: 46개
206650,데이터 부족: 43개
207760,데이터 부족: 43개
207940,데이터 부족: 42개
208340,데이터 부족: 40개
208350,데이터 부족: 39개
208370,데이터 부족: 46개
208640,데이터 부족: 44개
208710,데이터 부족: 47개
208860,데이터 부족: 43개
209640,데이터 부족: 18개
210120,데이터 부족: 27개
210540,데이터 부족: 44개
211050,데이터 부족: 34개
212710,데이터 부족: 16개
213420,데이터 부족: 44개
213500,데이터 부족: 43개
214150,데이터 부족: 38개
214180,데이터 부족: 45개
214260,데이터 부족: 42개
214270,데이터 부족: 44개
214450,데이터 부족: 45개
214610,데이터 부족: 31개
215000,데이터 부족: 43개
215090,데이터 부족: 38개
215100,데이터 부족: 38개
215200,데이터 부족: 42개
215360,데이터 부족: 42개
215380,데이터 부족: 41개
215480,데이터 부족: 38개
215790,데이터 부족: 41개
216050,데이터 부족: 46개
216080,데이터 부족: 28개
217270,데이터 부족: 41개
217330,데이터 부족: 36개
217480,데이터 부족: 42개
217500,데이터 부족: 42개
217620,데이터 부족: 39개
217730,데이터 부족: 45개
217820,데이터 부족: 43개
218150,데이터 부족: 44개
219550,데이터 부족: 42개
219750,데이터 부족: 37개
220100,데이터 부족: 42개
220180,데이터 부족: 46개
220260,데이터 부족: 44개
221800,데이터 부족: 23개
222080,데이터 부족: 47개
222110,데이터 부족: 47개
222160,데이터 부족: 30개
222420,데이터 부족: 45개
222800,데이터 부족: 41개
223250,데이터 부족: 33개
223310,데이터 부족: 45개
224110,데이터 부족: 40개
225190,데이터 부족: 42개
225220,데이터 부족: 31개
225430,데이터 부족: 35개
225570,데이터 부족: 37개
225590,데이터 부족: 35개
226330,데이터 부족: 29개
226340,데이터 부족: 36개
226360,데이터 부족: 41개
226400,데이터 부족: 38개
226590,데이터 부족: 25개
226950,데이터 부족: 35개
227100,데이터 부족: 31개
227610,데이터 부족: 37개
227840,데이터 부족: 40개
227950,데이터 부족: 43개
228670,데이터 부족: 34개
228760,데이터 부족: 34개
228850,데이터 부족: 47개
229000,데이터 부족: 34개
229640,데이터 부족: 42개
230240,데이터 부족: 45개
230980,데이터 부족: 40개
232140,데이터 부족: 41개
232680,데이터 부족: 30개
232830,데이터 부족: 21개
234030,데이터 부족: 18개
234100,데이터 부족: 46개
234300,데이터 부족: 40개
234340,데이터 부족: 37개
234690,데이터 부족: 29개
234920,데이터 부족: 43개
236200,데이터 부족: 40개
237820,데이터 부족: 37개
237880,데이터 부족: 43개
238090,데이터 부족: 45개
238120,데이터 부족: 41개
238200,데이터 부족: 34개
239340,데이터 부족: 33개
239610,데이터 부족: 40개
239890,데이터 부족: 31개
240550,데이터 부족: 18개
240600,데이터 부족: 35개
240810,데이터 부족: 38개
241520,데이터 부족: 40개
241560,데이터 부족: 42개
241710,데이터 부족: 47개
241770,데이터 부족: 42개
241790,데이터 부족: 40개
241820,데이터 부족: 40개
241840,데이터 부족: 33개
242040,데이터 부족: 40개
243840,데이터 부족: 44개
244460,데이터 부족: 40개
245620,데이터 부족: 37개
246250,데이터 부족: 21개
246690,데이터 부족: 42개
246710,데이터 부족: 32개
246720,데이터 부족: 41개
246960,데이터 부족: 36개
247540,데이터 부족: 31개
247660,데이터 부족: 36개
248070,데이터 부족: 30개
248170,데이터 부족: 37개
249420,데이터 부족: 37개
250000,데이터 부족: 39개
250060,데이터 부족: 41개
250930,데이터 부족: 38개
251120,데이터 부족: 25개
251270,데이터 부족: 43개
251370,데이터 부족: 43개
251630,데이터 부족: 41개
253450,데이터 부족: 37개
253840,데이터 부족: 35개
254120,데이터 부족: 36개
254490,데이터 부족: 30개
255220,데이터 부족: 41개
255440,데이터 부족: 43개
256150,데이터 부족: 33개
256630,데이터 부족: 40개
256940,데이터 부족: 38개
257370,데이터 부족: 35개
257720,데이터 부족: 29개
258610,데이터 부족: 40개
258790,데이터 부족: 40개
258830,데이터 부족: 39개
259630,데이터 부족: 41개
259960,데이터 부족: 44개
260930,데이터 부족: 37개
260970,데이터 부족: 38개
261200,데이터 부족: 39개
261780,데이터 부족: 23개
262260,데이터 부족: 30개
262840,데이터 부족: 26개
263020,데이터 부족: 39개
263050,데이터 부족: 35개
263600,데이터 부족: 46개
263690,데이터 부족: 37개
263700,데이터 부족: 37개
263720,데이터 부족: 37개
263750,데이터 부족: 37개
263770,데이터 부족: 43개
263800,데이터 부족: 44개
263810,데이터 부족: 45개
263860,데이터 부족: 42개
264660,데이터 부족: 45개
264850,데이터 부족: 28개
264900,데이터 부족: 35개
265560,데이터 부족: 45개
265740,데이터 부족: 28개
267250,데이터 부족: 34개
267260,데이터 부족: 34개
267270,데이터 부족: 34개
267290,데이터 부족: 34개
267320,데이터 부족: 46개
267790,데이터 부족: 36개
267850,데이터 부족: 45개
268280,데이터 부족: 34개
269620,데이터 부족: 38개
270520,데이터 부족: 26개
270660,데이터 부족: 26개
270870,데이터 부족: 34개
271560,데이터 부족: 34개
271830,데이터 부족: 34개
271980,데이터 부족: 34개
272110,데이터 부족: 38개
272210,데이터 부족: 43개
272550,데이터 부족: 36개
273060,데이터 부족: 27개
273640,데이터 부족: 26개
274090,데이터 부족: 32개
274400,데이터 부족: 36개
275630,데이터 부족: 33개
276730,데이터 부족: 26개
277070,데이터 부족: 38개
277810,데이터 부족: 28개
277880,데이터 부족: 32개
278470,데이터 부족: 34개
278650,데이터 부족: 31개
279600,데이터 부족: 33개
280360,데이터 부족: 32개
281740,데이터 부족: 36개
281820,데이터 부족: 32개
282330,데이터 부족: 32개
282720,데이터 부족: 28개
282880,데이터 부족: 31개
284620,데이터 부족: 36개
285130,데이터 부족: 32개
285490,데이터 부족: 33개
285800,데이터 부족: 24개
286750,데이터 부족: 32개
287840,데이터 부족: 15개
288330,데이터 부족: 30개
288620,데이터 부족: 31개
288980,데이터 부족: 20개
289010,데이터 부족: 32개
289080,데이터 부족: 42개
289220,데이터 부족: 28개
289930,데이터 부족: 14개
290090,데이터 부족: 24개
290120,데이터 부족: 33개
290270,데이터 부족: 35개
290520,데이터 부족: 32개
290550,데이터 부족: 36개
290560,데이터 부족: 20개
290650,데이터 부족: 34개
290660,데이터 부족: 33개
290670,데이터 부족: 31개
290690,데이터 부족: 35개
290720,데이터 부족: 34개
290740,데이터 부족: 36개
291230,데이터 부족: 22개
291650,데이터 부족: 29개
291810,데이터 부족: 24개
293480,데이터 부족: 46개
293490,데이터 부족: 31개
293580,데이터 부족: 42개
293780,데이터 부족: 30개
294090,데이터 부족: 30개
294140,데이터 부족: 36개
294630,데이터 부족: 37개
294870,데이터 부족: 30개
296640,데이터 부족: 21개
297090,데이터 부족: 38개
297570,데이터 부족: 35개
297890,데이터 부족: 41개
298000,데이터 부족: 30개
298020,데이터 부족: 30개
298040,데이터 부족: 30개
298050,데이터 부족: 30개
298060,데이터 부족: 33개
298380,데이터 부족: 32개
298540,데이터 부족: 29개
298690,데이터 부족: 42개
299170,데이터 부족: 26개
299660,데이터 부족: 33개
299900,데이터 부족: 33개
300120,데이터 부족: 29개
300720,데이터 부족: 29개
301300,데이터 부족: 30개
302430,데이터 부족: 34개
302440,데이터 부족: 29개
302550,데이터 부족: 30개
303030,데이터 부족: 35개
303360,데이터 부족: 21개
303530,데이터 부족: 25개
303810,데이터 부족: 15개
304840,데이터 부족: 28개
305090,데이터 부족: 32개
306040,데이터 부족: 31개
306620,데이터 부족: 36개
307180,데이터 부족: 30개
307280,데이터 부족: 27개
307750,데이터 부족: 29개
307870,데이터 부족: 18개
307930,데이터 부족: 37개
307950,데이터 부족: 46개
308100,데이터 부족: 33개
308170,데이터 부족: 43개
309930,데이터 부족: 21개
309960,데이터 부족: 34개
310200,데이터 부족: 31개
310210,데이터 부족: 24개
310870,데이터 부족: 35개
311320,데이터 부족: 27개
311390,데이터 부족: 31개
311690,데이터 부족: 33개
312610,데이터 부족: 32개
313760,데이터 부족: 35개
314130,데이터 부족: 28개
314140,데이터 부족: 22개
315640,데이터 부족: 25개
317120,데이터 부족: 28개
317240,데이터 부족: 30개
317400,데이터 부족: 40개
317530,데이터 부족: 32개
317690,데이터 부족: 27개
317770,데이터 부족: 31개
317830,데이터 부족: 41개
317850,데이터 부족: 44개
317870,데이터 부족: 33개
318000,데이터 부족: 35개
318010,데이터 부족: 35개
318160,데이터 부족: 20개
318410,데이터 부족: 30개
319400,데이터 부족: 32개
319660,데이터 부족: 26개
320000,데이터 부족: 34개
321260,데이터 부족: 27개
321370,데이터 부족: 16개
321550,데이터 부족: 29개
321820,데이터 부족: 30개
322180,데이터 부족: 27개
322310,데이터 부족: 28개
322510,데이터 부족: 32개
322780,데이터 부족: 27개
323280,데이터 부족: 29개
323350,데이터 부족: 16개
323410,데이터 부족: 27개
323990,데이터 부족: 25개
328130,데이터 부족: 22개
328380,데이터 부족: 21개
329180,데이터 부족: 24개
330350,데이터 부족: 35개
330730,데이터 부족: 24개
330860,데이터 부족: 25개
331380,데이터 부족: 25개
331520,데이터 부족: 19개
331740,데이터 부족: 9개
331920,데이터 부족: 27개
332290,데이터 부족: 23개
332370,데이터 부족: 29개
332570,데이터 부족: 30개
333050,데이터 부족: 23개
333430,데이터 부족: 22개
333620,데이터 부족: 27개
334970,데이터 부족: 30개
335810,데이터 부족: 29개
335870,데이터 부족: 28개
335890,데이터 부족: 28개
336060,데이터 부족: 21개
336260,데이터 부족: 24개
336680,데이터 부족: 21개
337930,데이터 부족: 27개
339770,데이터 부족: 40개
339950,데이터 부족: 37개
340360,데이터 부족: 34개
340440,데이터 부족: 25개
340450,데이터 부족: 11개
340810,데이터 부족: 17개
340930,데이터 부족: 27개
342870,데이터 부족: 12개
344860,데이터 부족: 20개
347000,데이터 부족: 29개
347740,데이터 부족: 26개
347770,데이터 부족: 27개
347850,데이터 부족: 16개
347860,데이터 부족: 25개
347890,데이터 부족: 38개
348030,데이터 부족: 26개
348080,데이터 부족: 22개
348150,데이터 부족: 25개
348350,데이터 부족: 32개
351320,데이터 부족: 35개
351330,데이터 부족: 27개
351870,데이터 부족: 21개
352700,데이터 부족: 34개
352770,데이터 부족: 25개
352820,데이터 부족: 27개
352910,데이터 부족: 36개
352940,데이터 부족: 37개
353190,데이터 부족: 28개
353200,데이터 부족: 22개
353590,데이터 부족: 27개
353810,데이터 부족: 22개
354200,데이터 부족: 24개
354320,데이터 부족: 33개
355390,데이터 부족: 17개
355690,데이터 부족: 15개
356680,데이터 부족: 19개
356890,데이터 부족: 24개
357230,데이터 부족: 29개
357580,데이터 부족: 29개
357780,데이터 부족: 21개
357880,데이터 부족: 21개
359090,데이터 부족: 25개
360070,데이터 부족: 19개
360350,데이터 부족: 13개
361390,데이터 부족: 30개
361570,데이터 부족: 25개
361610,데이터 부족: 23개
361670,데이터 부족: 28개
362320,데이터 부족: 20개
362990,데이터 부족: 14개
363250,데이터 부족: 20개
363260,데이터 부족: 24개
363280,데이터 부족: 21개
364950,데이터 부족: 13개
365270,데이터 부족: 24개
365330,데이터 부족: 19개
365590,데이터 부족: 25개
365900,데이터 부족: 23개
366030,데이터 부족: 21개
367000,데이터 부족: 23개
368600,데이터 부족: 22개
368770,데이터 부족: 30개
368970,데이터 부족: 18개
369370,데이터 부족: 22개
370090,데이터 부족: 23개
371950,데이터 부족: 33개
372800,데이터 부족: 23개
372910,데이터 부족: 37개
373110,데이터 부족: 15개
373160,데이터 부족: 13개
373170,데이터 부족: 17개
373200,데이터 부족: 21개
373220,데이터 부족: 20개
375500,데이터 부족: 19개
376180,데이터 부족: 33개
376290,데이터 부족: 34개
376300,데이터 부족: 19개
376900,데이터 부족: 24개
376930,데이터 부족: 22개
376980,데이터 부족: 23개
377030,데이터 부족: 21개
377220,데이터 부족: 24개
377300,데이터 부족: 25개
377330,데이터 부족: 23개
377480,데이터 부족: 23개
378800,데이터 부족: 18개
378850,데이터 부족: 19개
380540,데이터 부족: 16개
380550,데이터 부족: 8개
381620,데이터 부족: 16개
381970,데이터 부족: 25개
382150,데이터 부족: 22개
382480,데이터 부족: 21개
382800,데이터 부족: 26개
382840,데이터 부족: 21개
383220,데이터 부족: 18개
383930,데이터 부족: 19개
387570,데이터 부족: 14개
388050,데이터 부족: 20개
388720,데이터 부족: 26개
388790,데이터 부족: 30개
388870,데이터 부족: 16개
389020,데이터 부족: 19개
389030,데이터 부족: 19개
389470,데이터 부족: 15개
389500,데이터 부족: 31개
391710,데이터 부족: 17개
393210,데이터 부족: 14개
393970,데이터 부족: 12개
394280,데이터 부족: 19개
396270,데이터 부족: 21개
396300,데이터 부족: 36개
396470,데이터 부족: 24개
397030,데이터 부족: 20개
398120,데이터 부족: 14개
402340,데이터 부족: 16개
402490,데이터 부족: 16개
403490,데이터 부족: 19개
403870,데이터 부족: 22개
405100,데이터 부족: 24개
406820,데이터 부족: 21개
407400,데이터 부족: 18개
408900,데이터 부족: 23개
408920,데이터 부족: 25개
411080,데이터 부족: 15개
