ticker,error
000400,DART 데이터 없음
0004Y0,데이터 부족: 2개 분기
000540,DART 데이터 없음
000810,DART 데이터 없음
0008Z0,데이터 부족: 3개 분기
0010V0,데이터 부족: 3개 분기
001450,DART 데이터 없음
001510,DART 데이터 없음
0030R0,데이터 부족: 2개 분기
003460,DART 데이터 없음
003690,DART 데이터 없음
0037T0,데이터 부족: 3개 분기
0041B0,데이터 부족: 2개 분기
0041J0,데이터 부족: 1개 분기
0041L0,데이터 부족: 1개 분기
0044K0,DART 데이터 없음
005830,DART 데이터 없음
005940,DART 데이터 없음
006220,DART 데이터 없음
0071M0,DART 데이터 없음
0072Z0,데이터 부족: 1개 분기
007330,DART 데이터 없음
012210,데이터 부족: 5개 분기
014950,데이터 부족: 2개 분기
016360,DART 데이터 없음
023760,DART 데이터 없음
024110,DART 데이터 없음
027360,DART 데이터 없음
031210,DART 데이터 없음
032830,DART 데이터 없음
034310,DART 데이터 없음
039340,DART 데이터 없음
041020,DART 데이터 없음
055550,DART 데이터 없음
061090,데이터 부족: 2개 분기
082640,DART 데이터 없음
085620,DART 데이터 없음
086220,데이터 부족: 8개 분기
086790,DART 데이터 없음
088350,DART 데이터 없음
094850,DART 데이터 없음
102950,데이터 부족: 1개 분기
105560,DART 데이터 없음
125490,데이터 부족: 3개 분기
136660,데이터 부족: 2개 분기
138930,DART 데이터 없음
139130,DART 데이터 없음
163280,데이터 부족: 10개 분기
175330,DART 데이터 없음
188040,데이터 부족: 15개 분기
216400,데이터 부족: 1개 분기
217880,데이터 부족: 1개 분기
217950,데이터 부족: 6개 분기
233990,데이터 부족: 5개 분기
236340,데이터 부족: 1개 분기
236810,DART 데이터 없음
238170,데이터 부족: 7개 분기
238490,DART 데이터 없음
238500,데이터 부족: 2개 분기
250030,데이터 부족: 10개 분기
257990,데이터 부족: 5개 분기
266350,데이터 부족: 4개 분기
267080,데이터 부족: 3개 분기
276040,DART 데이터 없음
278990,데이터 부족: 5개 분기
287840,데이터 부족: 15개 분기
289930,데이터 부족: 14개 분기
303810,데이터 부족: 15개 분기
311060,데이터 부족: 8개 분기
311960,데이터 부족: 2개 분기
316140,DART 데이터 없음
317450,데이터 부족: 1개 분기
317860,데이터 부족: 3개 분기
331740,데이터 부족: 9개 분기
338100,데이터 부족: 13개 분기
340450,데이터 부족: 12개 분기
341170,DART 데이터 없음
342870,데이터 부족: 12개 분기
343090,데이터 부족: 3개 분기
351020,데이터 부족: 1개 분기
355690,데이터 부족: 15개 분기
357250,데이터 부족: 12개 분기
357430,데이터 부족: 15개 분기
358570,DART 데이터 없음
360350,데이터 부족: 14개 분기
362990,데이터 부족: 14개 분기
364950,데이터 부족: 13개 분기
365550,데이터 부족: 11개 분기
373110,데이터 부족: 15개 분기
373160,데이터 부족: 13개 분기
377450,DART 데이터 없음
380550,데이터 부족: 8개 분기
384470,DART 데이터 없음
387570,데이터 부족: 14개 분기
388210,데이터 부족: 2개 분기
388610,데이터 부족: 4개 분기
389140,DART 데이터 없음
393210,데이터 부족: 15개 분기
