SARIMA,ETS,Theta,Ensemble,ticker,date
7277008206.004034,10125291468.376871,11189274413.741804,9530524696.040903,189690,2026-01-01
12870881005.976871,10572106169.892984,11283833716.582825,11575606964.150894,189690,2026-01-02
6215348044.884531,10487722916.622955,11378393019.423843,9360487993.643776,189690,2026-01-03
15636170487.901257,10969108176.57995,11472952322.264864,12692743662.24869,189690,2026-01-04
7080402370.99962,10932516999.900822,11567511625.105885,9860143665.335443,189690,2026-01-05
13119941117.42257,11084696750.307833,11662070927.946903,11955569598.559105,189690,2026-01-06
11259493845.745842,11011730783.4134,11756630230.787926,11342618286.649055,189690,2026-01-07
15124230194.885736,11431333847.450726,11851189533.628946,12802251191.98847,189690,2026-01-08
7602403103.086113,11878148548.966837,11945748836.469969,10475433496.174303,189690,2026-01-09
14345875675.966892,11827765270.366829,13472510909.099882,13215383951.8112,189860,2025-07-01
11331092893.816368,11006702744.221285,13507680318.58495,11948491985.540869,189860,2025-07-02
9318509954.564638,8848635195.717289,13542849728.07002,10569998292.783983,189860,2025-07-03
21406724813.91681,13566967328.04548,13578019137.555086,16183903759.839125,189860,2025-07-04
19579696774.28413,11913214061.870234,13613188547.040154,15035366461.06484,189860,2025-07-05
11499197677.221668,14170558043.477283,13648357956.52522,13106037892.408058,189860,2025-07-06
7791605648.589939,12563099876.386774,13683527366.01029,11346077630.329002,189860,2025-07-07
19685160084.38244,11033601985.133682,13718696775.495358,14812486281.670492,189860,2025-07-08
6961951251.058641,10212539458.988138,13753866184.980425,10309452298.342402,189860,2025-07-09
22959856595.482468,28156823484.368706,27216680784.5501,26111120288.133755,189980,2025-10-01
22029926080.57905,28895519745.816307,27475160977.66479,26133535601.353382,189980,2025-10-02
27492026208.1829,30071165733.99061,27733641170.779488,28432277704.31767,189980,2025-10-03
28995096184.693905,29738341044.160774,27992121363.89418,28908519530.91629,189980,2025-10-04
24175538415.27252,31187007077.626816,28250601557.008877,27871049016.636063,189980,2025-10-05
22612088427.406136,30365163037.452328,28509081750.12357,27162111071.660675,189980,2025-10-06
27610313593.2167,31852789300.33033,28767561943.238262,29410221612.261765,189980,2025-10-07
29098282547.51397,32212892606.80162,29026042136.352955,30112405763.556183,189980,2025-10-08
24837333681.223045,32951588868.249226,29284522329.467648,29024481626.31331,189980,2025-10-09
96630660459.2744,122554376355.5374,116208699592.28316,111797912135.69832,190510,2025-10-01
119943090077.9968,127571983295.53957,117237186796.40823,121584086723.31488,190510,2025-10-02
93193108450.04372,129791840637.9748,118265674000.53336,113750207696.18396,190510,2025-10-03
119749554945.64616,126317550060.68362,119294161204.65846,121787088736.99608,190510,2025-10-04
94092085108.19226,126311440637.8174,120322648408.78355,113575391384.93108,190510,2025-10-05
123200577070.37714,128059257529.6596,121351135612.90866,124203656737.64848,190510,2025-10-06
