forecast_month,hs_code,item_name,forecast_amount_usd,forecast_unit_price_usd_per_kg,models_used_amount,models_used_price,based_on_flash_date
2026-08,847330,제8471호에 해당하는 기계의 부분품과 부속품,2800522348.8458266,48307.38351938635,"SARIMA,Theta,ETS","SARIMA,Theta,ETS",2026-07-20
2026-09,847330,제8471호에 해당하는 기계의 부분품과 부속품,2933276854.6312966,38587.28596521458,"SARIMA,Theta,ETS","SARIMA,Theta,ETS",2026-07-20
2026-10,847330,제8471호에 해당하는 기계의 부분품과 부속품,2944672335.3313794,40994.05848911244,"SARIMA,Theta,ETS","SARIMA,Theta,ETS",2026-07-20
2026-11,847330,제8471호에 해당하는 기계의 부분품과 부속품,3060589026.978556,36832.30943605702,"SARIMA,Theta,ETS","SARIMA,Theta,ETS",2026-07-20
2026-12,847330,제8471호에 해당하는 기계의 부분품과 부속품,3073009274.494964,36476.09387807719,"SARIMA,Theta,ETS","SARIMA,Theta,ETS",2026-07-20
2027-01,847330,제8471호에 해당하는 기계의 부분품과 부속품,3127389984.560613,34580.0611023771,"SARIMA,Theta,ETS","SARIMA,Theta,ETS",2026-07-20
2027-02,847330,제8471호에 해당하는 기계의 부분품과 부속품,3202226691.9586883,34120.97719536504,"SARIMA,Theta,ETS","SARIMA,Theta,ETS",2026-07-20
2027-03,847330,제8471호에 해당하는 기계의 부분품과 부속품,3267215540.617087,32993.08789093249,"SARIMA,Theta,ETS","SARIMA,Theta,ETS",2026-07-20
2027-04,847330,제8471호에 해당하는 기계의 부분품과 부속품,3211297697.1248665,32421.597826633562,"SARIMA,Theta,ETS","SARIMA,Theta,ETS",2026-07-20
2027-05,847330,제8471호에 해당하는 기계의 부분품과 부속품,3189643846.7777476,31826.67953146962,"SARIMA,Theta,ETS","SARIMA,Theta,ETS",2026-07-20
2027-06,847330,제8471호에 해당하는 기계의 부분품과 부속품,3138479121.778665,31346.369871626437,"SARIMA,Theta,ETS","SARIMA,Theta,ETS",2026-07-20
2027-07,847330,제8471호에 해당하는 기계의 부분품과 부속품,3133881698.173924,30282.932324662408,"SARIMA,Theta,ETS","SARIMA,Theta,ETS",2026-07-20
