연령대,ageCd,natCd,국가,관광객수,입국항,portCd,rnum,성별,sexCd,여행목적,traPurpCd,년월
승무원,99,112,중  국,1377,제  주,CJ,1,승무원,C,기타,99,202401
승무원,99,112,중  국,1390,제주항,CS,2,승무원,C,기타,99,202401
승무원,99,112,중  국,10,당진항,DJ,3,승무원,C,기타,99,202401
승무원,99,112,중  국,215,감천항,GC,4,승무원,C,기타,99,202401
승무원,99,112,중  국,4,김포공항,GP,5,승무원,C,기타,99,202401
승무원,99,112,중  국,1730,인천공항,IA,6,승무원,C,기타,99,202401
승무원,99,112,중  국,483,인천항,IC,7,승무원,C,기타,99,202401
승무원,99,112,중  국,3111,서귀포항,JS,8,승무원,C,기타,99,202401
승무원,99,112,중  국,3,김해공항,KH,9,승무원,C,기타,99,202401
승무원,99,112,중  국,114,군산항,KS,10,승무원,C,기타,99,202401
승무원,99,112,중  국,197,광양항,KY,11,승무원,C,기타,99,202401
승무원,99,112,중  국,12,목포항,MP,12,승무원,C,기타,99,202401
승무원,99,112,중  국,98,마산항,MS,13,승무원,C,기타,99,202401
승무원,99,112,중  국,153,포항항,PH,14,승무원,C,기타,99,202401
승무원,99,112,중  국,517,부산항,PS,15,승무원,C,기타,99,202401
승무원,99,112,중  국,58,평택항,PT,16,승무원,C,기타,99,202401
승무원,99,112,중  국,163,사천항,SC,17,승무원,C,기타,99,202401
승무원,99,112,중  국,220,동해항,TH,18,승무원,C,기타,99,202401
승무원,99,112,중  국,12,대산항,TS,19,승무원,C,기타,99,202401
승무원,99,112,중  국,103,울산항,US,20,승무원,C,기타,99,202401
승무원,99,112,중  국,24,여수항,YS,21,승무원,C,기타,99,202401
0 - 10,10,112,중  국,1,제  주,CJ,22,여성,F,공용,01,202401
0 - 10,10,112,중  국,1063,제  주,CJ,23,여성,F,관광,02,202401
11 - 20,20,112,중  국,2635,제  주,CJ,24,여성,F,관광,02,202401
21 - 30,30,112,중  국,18382,제  주,CJ,25,여성,F,관광,02,202401
31 - 40,40,112,중  국,9835,제  주,CJ,26,여성,F,관광,02,202401
41 - 50,50,112,중  국,3069,제  주,CJ,27,여성,F,관광,02,202401
51 - 60,60,112,중  국,1523,제  주,CJ,28,여성,F,관광,02,202401
61 - 70,70,112,중  국,786,제  주,CJ,29,여성,F,관광,02,202401
71 -,80,112,중  국,171,제  주,CJ,30,여성,F,관광,02,202401
21 - 30,30,112,중  국,2,제  주,CJ,31,여성,F,상용,03,202401
31 - 40,40,112,중  국,5,제  주,CJ,32,여성,F,상용,03,202401
41 - 50,50,112,중  국,3,제  주,CJ,33,여성,F,상용,03,202401
0 - 10,10,112,중  국,1,제  주,CJ,34,여성,F,유학연수,05,202401
11 - 20,20,112,중  국,5,제  주,CJ,35,여성,F,유학연수,05,202401
