년월,연령대,출국자수
202401,0-10세,129466
202401,11-20세,335326
202401,21-30세,492241
202401,31-40세,370348
202401,41-50세,475621
202401,51-60세,467041
202401,61-70세,283892
202401,71세이상,71848
202402,0-10세,134797
202402,11-20세,280867
202402,21-30세,426601
202402,31-40세,356427
202402,41-50세,442263
202402,51-60세,406850
202402,61-70세,258922
202402,71세이상,68716
202403,0-10세,76081
202403,11-20세,56203
202403,21-30세,341659
202403,31-40세,398353
202403,41-50세,322376
202403,51-60세,396371
202403,61-70세,324586
202403,71세이상,86442
