년월,구분,국가,관광객수,yoy_rate
202201,입국,미국,15570.0,
202202,입국,미국,15845.0,
202203,입국,미국,16968.0,
202204,입국,미국,30882.0,
202205,입국,미국,42490.0,
202206,입국,미국,55444.0,
202207,입국,미국,53942.0,
202208,입국,미국,50299.0,
202209,입국,미국,60435.0,
202210,입국,미국,73560.0,
202211,입국,미국,64861.0,
202212,입국,미국,63352.0,
202301,입국,미국,49120.0,215.47848426461144
202302,입국,미국,46204.0,191.5998737772168
202303,입국,미국,86430.0,409.3705799151344
202304,입국,미국,108818.0,252.36707467132956
202305,입국,미국,101915.0,139.85643680866087
202306,입국,미국,121378.0,118.91999134261597
202307,입국,미국,104823.0,94.32538652626896
202308,입국,미국,83250.0,65.51024871269806
202309,입국,미국,96925.0,60.37891950028956
202310,입국,미국,115763.0,57.372213159325725
202311,입국,미국,93498.0,44.151339017283114
202312,입국,미국,78291.0,23.58094456370754
202401,입국,미국,61754.0,25.72068403908795
202402,입국,미국,62607.0,35.5012553025712
202403,입국,미국,119955.0,38.788615064213815
202404,입국,미국,,
202405,입국,미국,122694.0,20.388559093362115
202406,입국,미국,151721.0,24.998764191204337
202407,입국,미국,120874.0,15.312479131488319
202408,입국,미국,102057.0,22.590990990990992
202409,입국,미국,109695.0,13.175135413979882
202410,입국,미국,141152.0,21.93187806121127
202411,입국,미국,,
202412,입국,미국,,
202201,입국,일본,1162.0,
202202,입국,일본,2934.0,
202203,입국,일본,1397.0,
202204,입국,일본,2231.0,
202205,입국,일본,3701.0,
202206,입국,일본,5855.0,
202207,입국,일본,11789.0,
202208,입국,일본,26482.0,
202209,입국,일본,27560.0,
202210,입국,일본,67159.0,
202211,입국,일본,62422.0,
202212,입국,일본,84175.0,
202301,입국,일본,66900.0,5657.314974182444
202302,입국,일본,94393.0,3117.211997273347
202303,입국,일본,192318.0,13666.499642090193
202304,입국,일본,128309.0,5651.187808157777
202305,입국,일본,183691.0,4863.280194542015
202306,입국,일본,196512.0,3256.3108454312555
202307,입국,일본,211468.0,1693.7738569853252
202308,입국,일본,263453.0,894.8380031719659
202309,입국,일본,250102.0,807.4818577648766
202310,입국,일본,255092.0,279.83293378400515
202311,입국,일본,278322.0,345.87164781647493
202312,입국,일본,195869.0,132.69260469260468
202401,입국,일본,143152.0,113.97907324364725
202402,입국,일본,183999.0,94.92864937018635
202403,입국,일본,338742.0,76.13639908900883
202404,입국,일본,229252.0,78.67180010755285
202405,입국,일본,278423.0,51.57138890854751
202406,입국,일본,258431.0,31.509017261032408
202407,입국,일본,242953.0,14.888777498250327
202408,입국,일본,323465.0,22.779015611892824
202409,입국,일본,310652.0,24.210122270113793
202410,입국,일본,323266.0,26.72525990622991
202411,입국,일본,341198.0,22.591099517824677
202412,입국,일본,,
202201,입국,중국,9489.0,
202202,입국,중국,16752.0,
202203,입국,중국,14726.0,
202204,입국,중국,10230.0,
202205,입국,중국,11253.0,
202206,입국,중국,12741.0,
202207,입국,중국,17907.0,
202208,입국,중국,30248.0,
202209,입국,중국,29531.0,
202210,입국,중국,22940.0,
202211,입국,중국,24174.0,
202212,입국,중국,27367.0,
202301,입국,중국,24946.0,162.8938771208768
202302,입국,중국,45884.0,173.90162368672398
202303,입국,중국,73390.0,398.3702295260084
202304,입국,중국,105967.0,935.8455522971653
202305,입국,중국,128171.0,1038.994046032169
202306,입국,중국,168035.0,1218.8525233498156
202307,입국,중국,224805.0,1155.4029150611493
202308,입국,중국,259659.0,758.4336154456494
202309,입국,중국,263940.0,793.7726456943551
202310,입국,중국,249483.0,987.5457715780296
202311,입국,중국,221469.0,816.1454455199803
202312,입국,중국,253675.0,826.9375525267659
