년월,구분,국가,관광객수
202201,출국,한국,147434.0
202201,입국,중국,9489.0
202201,입국,일본,1162.0
202201,입국,미국,15570.0
202202,출국,한국,112722.0
202202,입국,중국,16752.0
202202,입국,일본,2934.0
202202,입국,미국,15845.0
202203,출국,한국,145503.0
202203,입국,중국,14726.0
202203,입국,일본,1397.0
202203,입국,미국,16968.0
202204,출국,한국,215246.0
202204,입국,중국,10230.0
202204,입국,일본,2231.0
202204,입국,미국,30882.0
202205,출국,한국,315945.0
202205,입국,중국,11253.0
202205,입국,일본,3701.0
202205,입국,미국,42490.0
202206,출국,한국,412798.0
202206,입국,중국,12741.0
202206,입국,일본,5855.0
202206,입국,미국,55444.0
202207,출국,한국,674022.0
202207,입국,중국,17907.0
202207,입국,일본,11789.0
202207,입국,미국,53942.0
202208,출국,한국,702153.0
202208,입국,중국,30248.0
202208,입국,일본,26482.0
202208,입국,미국,50299.0
202209,출국,한국,619954.0
202209,입국,중국,29531.0
202209,입국,일본,27560.0
202209,입국,미국,60435.0
202210,출국,한국,773480.0
202210,입국,중국,22940.0
202210,입국,일본,67159.0
202210,입국,미국,73560.0
202211,출국,한국,1041431.0
202211,입국,중국,24174.0
202211,입국,일본,62422.0
202211,입국,미국,64861.0
202212,출국,한국,1393343.0
202212,입국,중국,27367.0
202212,입국,일본,84175.0
202212,입국,미국,63352.0
202301,출국,한국,1782313.0
202301,입국,중국,24946.0
202301,입국,일본,66900.0
202301,입국,미국,49120.0
202302,출국,한국,1724880.0
202302,입국,중국,45884.0
202302,입국,일본,94393.0
202302,입국,미국,46204.0
202303,출국,한국,1472193.0
202303,입국,중국,73390.0
202303,입국,일본,192318.0
202303,입국,미국,86430.0
202304,출국,한국,1497105.0
202304,입국,중국,105967.0
202304,입국,일본,128309.0
202304,입국,미국,108818.0
202305,출국,한국,1683022.0
202305,입국,중국,128171.0
202305,입국,일본,183691.0
202305,입국,미국,101915.0
202306,출국,한국,1771962.0
202306,입국,중국,168035.0
202306,입국,일본,196512.0
202306,입국,미국,121378.0
202307,출국,한국,2153857.0
202307,입국,중국,224805.0
202307,입국,일본,211468.0
202307,입국,미국,104823.0
202308,출국,한국,2093236.0
202308,입국,중국,259659.0
202308,입국,일본,263453.0
202308,입국,미국,83250.0
202309,출국,한국,2017157.0
202309,입국,중국,263940.0
202309,입국,일본,250102.0
202309,입국,미국,96925.0
202310,출국,한국,2042703.0
202310,입국,중국,249483.0
202310,입국,일본,255092.0
202310,입국,미국,115763.0
202311,출국,한국,2061646.0
202311,입국,중국,221469.0
202311,입국,일본,278322.0
202311,입국,미국,93498.0
202312,출국,한국,2415767.0
202312,입국,중국,253675.0
202312,입국,일본,195869.0
202312,입국,미국,78291.0
202401,출국,한국,2770866.0
202401,입국,중국,280035.0
202401,입국,일본,143152.0
202401,입국,미국,61754.0
202402,출국,한국,2512109.0
202402,입국,중국,343719.0
202402,입국,일본,183999.0
202402,입국,미국,62607.0
202403,출국,한국,2141992.0
202403,입국,중국,391347.0
202403,입국,일본,338742.0
202403,입국,미국,119955.0
202404,출국,한국,2110954.0
202404,입국,중국,411331.0
202404,입국,일본,229252.0
202404,입국,미국,
202405,출국,한국,2268310.0
202405,입국,중국,395222.0
202405,입국,일본,278423.0
202405,입국,미국,122694.0
202406,출국,한국,2219151.0
202406,입국,중국,397325.0
202406,입국,일본,258431.0
202406,입국,미국,151721.0
202407,출국,한국,2501969.0
202407,입국,중국,459069.0
202407,입국,일본,242953.0
202407,입국,미국,120874.0
202408,출국,한국,2359550.0
202408,입국,중국,505559.0
202408,입국,일본,323465.0
202408,입국,미국,102057.0
202409,출국,한국,2311792.0
202409,입국,중국,422809.0
202409,입국,일본,310652.0
202409,입국,미국,109695.0
202410,출국,한국,2382464.0
202410,입국,중국,392230.0
202410,입국,일본,323266.0
202410,입국,미국,141152.0
202411,출국,한국,2391140.0
202411,입국,중국,
202411,입국,일본,341198.0
202411,입국,미국,
202412,출국,한국,2716138.0
202412,입국,중국,
202412,입국,일본,
202412,입국,미국,
