년월,국가,여행목적,입국자수
202401,중국,관광,233052
202401,중국,상용,2654
202401,중국,업무,2654
202401,중국,친지방문,0
202401,중국,유학연수,7164
202401,중국,기타,37072
202401,일본,관광,137713
202401,일본,상용,1352
202401,일본,업무,1352
202401,일본,친지방문,0
202401,일본,유학연수,1196
202401,일본,기타,2758
202401,미국,관광,41299
202401,미국,상용,340
202401,미국,업무,340
202401,미국,친지방문,0
202401,미국,유학연수,240
202401,미국,기타,16997
202402,중국,관광,248966
202402,중국,상용,2520
202402,중국,업무,2520
202402,중국,친지방문,0
202402,중국,유학연수,35771
202402,중국,기타,56347
202402,일본,관광,177633
202402,일본,상용,1153
202402,일본,업무,1153
202402,일본,친지방문,0
202402,일본,유학연수,2775
202402,일본,기타,2319
202402,미국,관광,42206
202402,미국,상용,226
202402,미국,업무,226
202402,미국,친지방문,0
202402,미국,유학연수,1506
202402,미국,기타,16250
202403,중국,관광,305028
202403,중국,상용,3535
202403,중국,업무,3535
202403,중국,친지방문,0
202403,중국,유학연수,31680
202403,중국,기타,50867
202403,일본,관광,334131
202403,일본,상용,1073
202403,일본,업무,1073
202403,일본,친지방문,0
202403,일본,유학연수,935
202403,일본,기타,2445
202403,미국,관광,96895
202403,미국,상용,290
202403,미국,업무,290
202403,미국,친지방문,0
202403,미국,유학연수,190
202403,미국,기타,18470
