date,indicator,value,source,entity_type,entity_code,entity_name,extra_json
2022-01-31,icn_airline_cargo_tons_arrBaggage,105.0,ODP_B551177,airline,7C,제주항공,
2022-01-31,icn_airline_cargo_tons_arrBaggage,980.0,ODP_B551177,airline,AA,아메리칸항공,
2022-01-31,icn_airline_cargo_tons_arrBaggage,61007.0,ODP_B551177,airline,KE,대한항공,
2022-01-31,icn_airline_cargo_tons_arrBaggage,28336.0,ODP_B551177,airline,OZ,아시아나항공,
2022-01-31,icn_airline_cargo_tons_baggage,223.0,ODP_B551177,airline,7C,제주항공,
2022-01-31,icn_airline_cargo_tons_baggage,1804.0,ODP_B551177,airline,AA,아메리칸항공,
2022-01-31,icn_airline_cargo_tons_baggage,125096.0,ODP_B551177,airline,KE,대한항공,
2022-01-31,icn_airline_cargo_tons_baggage,56431.0,ODP_B551177,airline,OZ,아시아나항공,
2022-01-31,icn_airline_cargo_tons_depBaggage,118.0,ODP_B551177,airline,7C,제주항공,
2022-01-31,icn_airline_cargo_tons_depBaggage,825.0,ODP_B551177,airline,AA,아메리칸항공,
2022-01-31,icn_airline_cargo_tons_depBaggage,64089.0,ODP_B551177,airline,KE,대한항공,
2022-01-31,icn_airline_cargo_tons_depBaggage,28095.0,ODP_B551177,airline,OZ,아시아나항공,
2022-01-31,icn_airline_pax_arrPassenger,1528.0,ODP_B551177,airline,7C,제주항공,
2022-01-31,icn_airline_pax_arrPassenger,2874.0,ODP_B551177,airline,AA,아메리칸항공,
2022-01-31,icn_airline_pax_arrPassenger,52991.0,ODP_B551177,airline,KE,대한항공,
2022-01-31,icn_airline_pax_arrPassenger,34958.0,ODP_B551177,airline,OZ,아시아나항공,
2022-01-31,icn_airline_pax_depPassenger,1883.0,ODP_B551177,airline,7C,제주항공,
2022-01-31,icn_airline_pax_depPassenger,3836.0,ODP_B551177,airline,AA,아메리칸항공,
2022-01-31,icn_airline_pax_depPassenger,57382.0,ODP_B551177,airline,KE,대한항공,
2022-01-31,icn_airline_pax_depPassenger,33905.0,ODP_B551177,airline,OZ,아시아나항공,
2022-01-31,icn_airline_pax_passenger,3411.0,ODP_B551177,airline,7C,제주항공,
2022-01-31,icn_airline_pax_passenger,6710.0,ODP_B551177,airline,AA,아메리칸항공,
2022-01-31,icn_airline_pax_passenger,110373.0,ODP_B551177,airline,KE,대한항공,
2022-01-31,icn_airline_pax_passenger,68863.0,ODP_B551177,airline,OZ,아시아나항공,
2022-02-28,icn_airline_cargo_tons_arrBaggage,64.0,ODP_B551177,airline,7C,제주항공,
2022-02-28,icn_airline_cargo_tons_arrBaggage,909.0,ODP_B551177,airline,AA,아메리칸항공,
2022-02-28,icn_airline_cargo_tons_arrBaggage,53336.0,ODP_B551177,airline,KE,대한항공,
2022-02-28,icn_airline_cargo_tons_arrBaggage,25054.0,ODP_B551177,airline,OZ,아시아나항공,
2022-02-28,icn_airline_cargo_tons_baggage,165.0,ODP_B551177,airline,7C,제주항공,
2022-02-28,icn_airline_cargo_tons_baggage,1763.0,ODP_B551177,airline,AA,아메리칸항공,
2022-02-28,icn_airline_cargo_tons_baggage,108913.0,ODP_B551177,airline,KE,대한항공,
2022-02-28,icn_airline_cargo_tons_baggage,48864.0,ODP_B551177,airline,OZ,아시아나항공,
2022-02-28,icn_airline_cargo_tons_depBaggage,101.0,ODP_B551177,airline,7C,제주항공,
2022-02-28,icn_airline_cargo_tons_depBaggage,854.0,ODP_B551177,airline,AA,아메리칸항공,
2022-02-28,icn_airline_cargo_tons_depBaggage,55576.0,ODP_B551177,airline,KE,대한항공,
2022-02-28,icn_airline_cargo_tons_depBaggage,23809.0,ODP_B551177,airline,OZ,아시아나항공,
2022-02-28,icn_airline_pax_arrPassenger,2698.0,ODP_B551177,airline,7C,제주항공,
2022-02-28,icn_airline_pax_arrPassenger,2643.0,ODP_B551177,airline,AA,아메리칸항공,
2022-02-28,icn_airline_pax_arrPassenger,51229.0,ODP_B551177,airline,KE,대한항공,
2022-02-28,icn_airline_pax_arrPassenger,36699.0,ODP_B551177,airline,OZ,아시아나항공,
2022-02-28,icn_airline_pax_depPassenger,2622.0,ODP_B551177,airline,7C,제주항공,
2022-02-28,icn_airline_pax_depPassenger,2243.0,ODP_B551177,airline,AA,아메리칸항공,
2022-02-28,icn_airline_pax_depPassenger,43853.0,ODP_B551177,airline,KE,대한항공,
2022-02-28,icn_airline_pax_depPassenger,29884.0,ODP_B551177,airline,OZ,아시아나항공,
2022-02-28,icn_airline_pax_passenger,5320.0,ODP_B551177,airline,7C,제주항공,
2022-02-28,icn_airline_pax_passenger,4886.0,ODP_B551177,airline,AA,아메리칸항공,
2022-02-28,icn_airline_pax_passenger,95082.0,ODP_B551177,airline,KE,대한항공,
2022-02-28,icn_airline_pax_passenger,66583.0,ODP_B551177,airline,OZ,아시아나항공,
2022-03-31,icn_airline_cargo_tons_arrBaggage,67.0,ODP_B551177,airline,7C,제주항공,
2022-03-31,icn_airline_cargo_tons_arrBaggage,804.0,ODP_B551177,airline,AA,아메리칸항공,
2022-03-31,icn_airline_cargo_tons_arrBaggage,66519.0,ODP_B551177,airline,KE,대한항공,
2022-03-31,icn_airline_cargo_tons_arrBaggage,29451.0,ODP_B551177,airline,OZ,아시아나항공,
2022-03-31,icn_airline_cargo_tons_baggage,158.0,ODP_B551177,airline,7C,제주항공,
2022-03-31,icn_airline_cargo_tons_baggage,1611.0,ODP_B551177,airline,AA,아메리칸항공,
2022-03-31,icn_airline_cargo_tons_baggage,134367.0,ODP_B551177,airline,KE,대한항공,
2022-03-31,icn_airline_cargo_tons_baggage,58607.0,ODP_B551177,airline,OZ,아시아나항공,
2022-03-31,icn_airline_cargo_tons_depBaggage,91.0,ODP_B551177,airline,7C,제주항공,
2022-03-31,icn_airline_cargo_tons_depBaggage,807.0,ODP_B551177,airline,AA,아메리칸항공,
2022-03-31,icn_airline_cargo_tons_depBaggage,67848.0,ODP_B551177,airline,KE,대한항공,
2022-03-31,icn_airline_cargo_tons_depBaggage,29156.0,ODP_B551177,airline,OZ,아시아나항공,
2022-03-31,icn_airline_pax_arrPassenger,3275.0,ODP_B551177,airline,7C,제주항공,
2022-03-31,icn_airline_pax_arrPassenger,3546.0,ODP_B551177,airline,AA,아메리칸항공,
2022-03-31,icn_airline_pax_arrPassenger,67583.0,ODP_B551177,airline,KE,대한항공,
2022-03-31,icn_airline_pax_arrPassenger,46723.0,ODP_B551177,airline,OZ,아시아나항공,
2022-03-31,icn_airline_pax_depPassenger,3608.0,ODP_B551177,airline,7C,제주항공,
2022-03-31,icn_airline_pax_depPassenger,2865.0,ODP_B551177,airline,AA,아메리칸항공,
2022-03-31,icn_airline_pax_depPassenger,67641.0,ODP_B551177,airline,KE,대한항공,
2022-03-31,icn_airline_pax_depPassenger,44416.0,ODP_B551177,airline,OZ,아시아나항공,
2022-03-31,icn_airline_pax_passenger,6883.0,ODP_B551177,airline,7C,제주항공,
2022-03-31,icn_airline_pax_passenger,6411.0,ODP_B551177,airline,AA,아메리칸항공,
2022-03-31,icn_airline_pax_passenger,135224.0,ODP_B551177,airline,KE,대한항공,
