date,indicator,value,source,entity_type,entity_code,entity_name,extra_json
2008-09-30,csi_travel_spending_expectation_total,78.0,BOK_ECOS,,,,"{""stat_code"": ""511Y002"", ""stat_name"": ""6.2.1. 소비자동향조사(전국, 월, 2008.9~)"", ""unit"": null, ""item_code1"": ""FMCCD"", ""item_name1"": ""여행비 지출전망CSI"", ""item_code2"": ""99988"", ""item_name2"": ""전체""}"
2008-10-31,csi_travel_spending_expectation_total,70.0,BOK_ECOS,,,,"{""stat_code"": ""511Y002"", ""stat_name"": ""6.2.1. 소비자동향조사(전국, 월, 2008.9~)"", ""unit"": null, ""item_code1"": ""FMCCD"", ""item_name1"": ""여행비 지출전망CSI"", ""item_code2"": ""99988"", ""item_name2"": ""전체""}"
2008-11-30,csi_travel_spending_expectation_total,62.0,BOK_ECOS,,,,"{""stat_code"": ""511Y002"", ""stat_name"": ""6.2.1. 소비자동향조사(전국, 월, 2008.9~)"", ""unit"": null, ""item_code1"": ""FMCCD"", ""item_name1"": ""여행비 지출전망CSI"", ""item_code2"": ""99988"", ""item_name2"": ""전체""}"
2008-12-31,csi_travel_spending_expectation_total,57.0,BOK_ECOS,,,,"{""stat_code"": ""511Y002"", ""stat_name"": ""6.2.1. 소비자동향조사(전국, 월, 2008.9~)"", ""unit"": null, ""item_code1"": ""FMCCD"", ""item_name1"": ""여행비 지출전망CSI"", ""item_code2"": ""99988"", ""item_name2"": ""전체""}"
2009-01-31,csi_travel_spending_expectation_total,63.0,BOK_ECOS,,,,"{""stat_code"": ""511Y002"", ""stat_name"": ""6.2.1. 소비자동향조사(전국, 월, 2008.9~)"", ""unit"": null, ""item_code1"": ""FMCCD"", ""item_name1"": ""여행비 지출전망CSI"", ""item_code2"": ""99988"", ""item_name2"": ""전체""}"
2009-02-28,csi_travel_spending_expectation_total,63.0,BOK_ECOS,,,,"{""stat_code"": ""511Y002"", ""stat_name"": ""6.2.1. 소비자동향조사(전국, 월, 2008.9~)"", ""unit"": null, ""item_code1"": ""FMCCD"", ""item_name1"": ""여행비 지출전망CSI"", ""item_code2"": ""99988"", ""item_name2"": ""전체""}"
2009-03-31,csi_travel_spending_expectation_total,61.0,BOK_ECOS,,,,"{""stat_code"": ""511Y002"", ""stat_name"": ""6.2.1. 소비자동향조사(전국, 월, 2008.9~)"", ""unit"": null, ""item_code1"": ""FMCCD"", ""item_name1"": ""여행비 지출전망CSI"", ""item_code2"": ""99988"", ""item_name2"": ""전체""}"
2009-04-30,csi_travel_spending_expectation_total,69.0,BOK_ECOS,,,,"{""stat_code"": ""511Y002"", ""stat_name"": ""6.2.1. 소비자동향조사(전국, 월, 2008.9~)"", ""unit"": null, ""item_code1"": ""FMCCD"", ""item_name1"": ""여행비 지출전망CSI"", ""item_code2"": ""99988"", ""item_name2"": ""전체""}"
2009-05-31,csi_travel_spending_expectation_total,80.0,BOK_ECOS,,,,"{""stat_code"": ""511Y002"", ""stat_name"": ""6.2.1. 소비자동향조사(전국, 월, 2008.9~)"", ""unit"": null, ""item_code1"": ""FMCCD"", ""item_name1"": ""여행비 지출전망CSI"", ""item_code2"": ""99988"", ""item_name2"": ""전체""}"
2009-06-30,csi_travel_spending_expectation_total,81.0,BOK_ECOS,,,,"{""stat_code"": ""511Y002"", ""stat_name"": ""6.2.1. 소비자동향조사(전국, 월, 2008.9~)"", ""unit"": null, ""item_code1"": ""FMCCD"", ""item_name1"": ""여행비 지출전망CSI"", ""item_code2"": ""99988"", ""item_name2"": ""전체""}"
2009-07-31,csi_travel_spending_expectation_total,81.0,BOK_ECOS,,,,"{""stat_code"": ""511Y002"", ""stat_name"": ""6.2.1. 소비자동향조사(전국, 월, 2008.9~)"", ""unit"": null, ""item_code1"": ""FMCCD"", ""item_name1"": ""여행비 지출전망CSI"", ""item_code2"": ""99988"", ""item_name2"": ""전체""}"
2009-08-31,csi_travel_spending_expectation_total,84.0,BOK_ECOS,,,,"{""stat_code"": ""511Y002"", ""stat_name"": ""6.2.1. 소비자동향조사(전국, 월, 2008.9~)"", ""unit"": null, ""item_code1"": ""FMCCD"", ""item_name1"": ""여행비 지출전망CSI"", ""item_code2"": ""99988"", ""item_name2"": ""전체""}"
2009-09-30,csi_travel_spending_expectation_total,82.0,BOK_ECOS,,,,"{""stat_code"": ""511Y002"", ""stat_name"": ""6.2.1. 소비자동향조사(전국, 월, 2008.9~)"", ""unit"": null, ""item_code1"": ""FMCCD"", ""item_name1"": ""여행비 지출전망CSI"", ""item_code2"": ""99988"", ""item_name2"": ""전체""}"
2009-10-31,csi_travel_spending_expectation_total,85.0,BOK_ECOS,,,,"{""stat_code"": ""511Y002"", ""stat_name"": ""6.2.1. 소비자동향조사(전국, 월, 2008.9~)"", ""unit"": null, ""item_code1"": ""FMCCD"", ""item_name1"": ""여행비 지출전망CSI"", ""item_code2"": ""99988"", ""item_name2"": ""전체""}"
2009-11-30,csi_travel_spending_expectation_total,84.0,BOK_ECOS,,,,"{""stat_code"": ""511Y002"", ""stat_name"": ""6.2.1. 소비자동향조사(전국, 월, 2008.9~)"", ""unit"": null, ""item_code1"": ""FMCCD"", ""item_name1"": ""여행비 지출전망CSI"", ""item_code2"": ""99988"", ""item_name2"": ""전체""}"
2009-12-31,csi_travel_spending_expectation_total,85.0,BOK_ECOS,,,,"{""stat_code"": ""511Y002"", ""stat_name"": ""6.2.1. 소비자동향조사(전국, 월, 2008.9~)"", ""unit"": null, ""item_code1"": ""FMCCD"", ""item_name1"": ""여행비 지출전망CSI"", ""item_code2"": ""99988"", ""item_name2"": ""전체""}"
2009-12-31,oil_brent,77.93000030517578,FDR,,,,
