date,indicator,value,source,entity_type,entity_code,entity_name,extra_json
2015-01-31,airportal_SEQ,100.0,AIRPORTAL,airline,,가루다인도네시아(GIA),"{""year"": 2015, ""month"": 1, ""yyyymm"": ""201501""}"
2015-01-31,airportal_공급(석),30244.0,AIRPORTAL,airline,,가루다인도네시아(GIA),"{""year"": 2015, ""month"": 1, ""yyyymm"": ""201501""}"
2015-01-31,airportal_여객(명),21225.0,AIRPORTAL,airline,,가루다인도네시아(GIA),"{""year"": 2015, ""month"": 1, ""yyyymm"": ""201501""}"
2015-01-31,airportal_운항(편),124.0,AIRPORTAL,airline,,가루다인도네시아(GIA),"{""year"": 2015, ""month"": 1, ""yyyymm"": ""201501""}"
2015-01-31,airportal_화물(톤),936.0,AIRPORTAL,airline,,가루다인도네시아(GIA),"{""year"": 2015, ""month"": 1, ""yyyymm"": ""201501""}"
2015-02-28,airportal_SEQ,100.0,AIRPORTAL,airline,,가루다인도네시아(GIA),"{""year"": 2015, ""month"": 2, ""yyyymm"": ""201502""}"
2015-02-28,airportal_공급(석),27438.0,AIRPORTAL,airline,,가루다인도네시아(GIA),"{""year"": 2015, ""month"": 2, ""yyyymm"": ""201502""}"
2015-02-28,airportal_여객(명),19705.0,AIRPORTAL,airline,,가루다인도네시아(GIA),"{""year"": 2015, ""month"": 2, ""yyyymm"": ""201502""}"
2015-02-28,airportal_운항(편),112.0,AIRPORTAL,airline,,가루다인도네시아(GIA),"{""year"": 2015, ""month"": 2, ""yyyymm"": ""201502""}"
2015-02-28,airportal_화물(톤),822.0,AIRPORTAL,airline,,가루다인도네시아(GIA),"{""year"": 2015, ""month"": 2, ""yyyymm"": ""201502""}"
2015-03-31,airportal_SEQ,100.0,AIRPORTAL,airline,,가루다인도네시아(GIA),"{""year"": 2015, ""month"": 3, ""yyyymm"": ""201503""}"
2015-03-31,airportal_공급(석),30168.0,AIRPORTAL,airline,,가루다인도네시아(GIA),"{""year"": 2015, ""month"": 3, ""yyyymm"": ""201503""}"
2015-03-31,airportal_여객(명),18058.0,AIRPORTAL,airline,,가루다인도네시아(GIA),"{""year"": 2015, ""month"": 3, ""yyyymm"": ""201503""}"
2015-03-31,airportal_운항(편),122.0,AIRPORTAL,airline,,가루다인도네시아(GIA),"{""year"": 2015, ""month"": 3, ""yyyymm"": ""201503""}"
2015-03-31,airportal_화물(톤),1000.0,AIRPORTAL,airline,,가루다인도네시아(GIA),"{""year"": 2015, ""month"": 3, ""yyyymm"": ""201503""}"
2015-04-30,airportal_SEQ,100.0,AIRPORTAL,airline,,가루다인도네시아(GIA),"{""year"": 2015, ""month"": 4, ""yyyymm"": ""201504""}"
2015-04-30,airportal_공급(석),28102.0,AIRPORTAL,airline,,가루다인도네시아(GIA),"{""year"": 2015, ""month"": 4, ""yyyymm"": ""201504""}"
2015-04-30,airportal_여객(명),17872.0,AIRPORTAL,airline,,가루다인도네시아(GIA),"{""year"": 2015, ""month"": 4, ""yyyymm"": ""201504""}"
2015-04-30,airportal_운항(편),114.0,AIRPORTAL,airline,,가루다인도네시아(GIA),"{""year"": 2015, ""month"": 4, ""yyyymm"": ""201504""}"
