SEQ,항공사명,공급(석),운항(편),여객(명),화물(톤),조회년월
0,전체 합계,8181987,49525,6637272,322281,2022-01
1,2022년 01월 실적,8181987,49525,6637272,322281,2022-01
2,국적사 계,7809482,44609,6470119,233719,2022-01
3,대한항공(KAL),1518424,10598,1099076,142430,2022-01
4,아시아나항공(AAR),1126542,6826,858636,66450,2022-01
5,제주항공(JJA),1352484,7202,1219372,5201,2022-01
6,진에어(JNA),1286143,6809,1066969,5388,2022-01
7,에어부산(ABL),982534,4839,802241,4418,2022-01
9,티웨이항공(TWB),1051785,5572,974575,4415,2022-01
10,에어제타(AIH),0,282,0,3268,2022-01
11,에어서울(ASV),362510,1758,343450,1220,2022-01
12,에어프레미아(APZ),1236,27,526,281,2022-01
13,에어로케이(EOK),66960,372,64824,402,2022-01
14,플라이강원(FGW),60864,324,40450,245,2022-01
99,외항사 계,372505,4916,167153,88562,2022-01
100,홍콩항공(CRK),0,18,0,368,2022-01
100,호주항공(콴타스항공)(QFA),0,26,0,100,2022-01
100,하이플라이 몰타(HFM),0,2,0,22,2022-01
100,하와이안항공(HAL),7874,31,1728,578,2022-01
100,필리핀항공(PAL),2188,30,384,399,2022-01
100,핀란드항공(FIN),11392,62,3644,1557,2022-01
100,프랑스항공(AFR),11594,28,3149,726,2022-01
100,폴란드항공(LOT),9156,38,5409,564,2022-01
100,폴라에어카고(PAC),0,242,0,7477,2022-01
100,페덱스화물항공(FDX),0,250,0,5190,2022-01
100,톈진화물항공(CTJ),0,100,0,938,2022-01
100,터키항공(THY),12095,55,7077,1882,2022-01
100,타이항공(THA),16212,62,3761,1191,2022-01
100,캐세이퍼시픽항공(CPA),840,46,271,885,2022-01
100,칼리타화물항공(CKS),0,373,0,3081,2022-01
100,카타르항공(QTR),23748,95,12342,4654,2022-01
100,카고룩스화물항공(CLX),0,36,0,2190,2022-01
100,카고룩스 이탈리아(ICV),0,18,0,850,2022-01
100,칭다오항공(QDA),3600,20,1382,62,2022-01
100,춘추항공(CQH),2400,10,1678,52,2022-01
100,집에어 도쿄(TZP),6960,48,911,506,2022-01
100,중화항공(CAL),1240,102,52,1504,2022-01
100,중국화물항공(CKK),0,52,0,3650,2022-01
100,중국하문항공(CXA),2040,12,781,32,2022-01
100,중국우정항공(CYZ),0,40,0,399,2022-01
100,중국심천항공(CSZ),1264,8,659,21,2022-01
100,중국순풍항공(CSS),0,16,0,237,2022-01
100,중국동방항공(CES),2844,72,2224,1108,2022-01
100,중국남방항공(CSN),5130,18,2090,164,2022-01
100,중국국제항공(CCA),3572,16,2347,120,2022-01
100,젯스타퍼시픽항공(PIC),744,8,575,24,2022-01
100,전일본항공(ANA),0,52,0,1542,2022-01
100,유피에스화물항공(UPS),0,405,0,5988,2022-01
100,유나이티드항공(UAL),14383,61,7749,1022,2022-01
100,웨스턴글로벌항공(WGN),0,26,0,0,2022-01
100,우크라이나에어라인(UKL),2312,10,648,127,2022-01
100,우즈베키스탄항공(UZB),4476,36,2155,522,2022-01
100,오로라항공(SHU),1536,12,605,18,2022-01
100,엘알이스라엘화물항공(ELY),0,4,0,38,2022-01
100,에티하드항공(ETD),15237,53,5320,914,2022-01
100,에티오피안항공(ETH),2160,67,721,2304,2022-01
100,에어홍콩화물항공(AHK),0,52,0,1805,2022-01
100,에어캐나다(ACA),20286,189,9796,1378,2022-01
100,에어아스타나항공(KZR),1722,9,1032,49,2022-01
100,에어브리지화물항공(ABW),0,75,0,3603,2022-01
100,에어로로직(BOX),0,71,0,1804,2022-01
100,에바항공(장영항공)(EVA),7108,96,599,1500,2022-01
100,에미레이트항공(UAE),21704,61,12787,1476,2022-01
100,안토노프항공(ADB),0,3,0,177,2022-01
100,아틀라스화물항공(GTI),0,453,0,7660,2022-01
100,아에로멕시코(AMX),4374,18,2276,195,2022-01
100,아메리칸항공(AAL),10740,214,6667,1954,2022-01
100,싱가폴항공(SIA),17884,52,10421,1039,2022-01
100,실크웨이웨스트(AZG),0,28,0,1858,2022-01
100,시베리아항공(SBI),5628,34,1817,57,2022-01
100,스쿠트타이거항공(TGW),3290,10,1224,114,2022-01
100,스리랑카항공(ALK),2156,8,1020,133,2022-01
100,세부퍼시픽항공(CEB),6612,24,860,159,2022-01
100,산동항공(CDG),1760,10,1115,35,2022-01
100,사우디항공(SVA),0,22,0,306,2022-01
100,비엣젯항공(VJC),3310,64,2756,482,2022-01
100,볼가화물항공(VDA),0,2,0,67,2022-01
100,베트남항공(HVN),9640,58,5803,752,2022-01
100,뱀부항공(BAV),5170,80,4292,882,2022-01
100,미얀마국제항공(MMA),4054,28,1806,76,2022-01
100,미얀마 항공(UBA),540,6,270,29,2022-01
100,몽골항공(MGL),3928,43,2106,305,2022-01
100,말레이시아항공(MAS),2328,54,555,1078,2022-01
100,룽하오에어(LHA),0,56,0,521,2022-01
100,루프트한자화물항공(독일화물항공)(GEC),0,126,0,1498,2022-01
100,루프트한자항공(독일항공)(DLH),20078,60,6748,789,2022-01
100,러시아항공(AFL),3618,9,1736,180,2022-01
100,라오항공(LAO),1736,12,800,28,2022-01
100,라다항공(RDA),0,2,0,25,2022-01
100,델타항공(DAL),32985,114,15836,1529,2022-01
100,뉴질랜드항공(ANZ),604,17,106,271,2022-01
100,네덜란드항공(KLM),11842,36,5477,808,2022-01
100,내셔널항공(NCR),0,11,0,405,2022-01
100,가루다인도네시아(GIA),4411,17,1586,305,2022-01
100,YTO 화물 항공사(HYT),0,28,0,188,2022-01
100,JetAvia(ZAV),0,4,0,37,2022-01
