날짜,구분,edCd,코드,국적,입국자수,항목
2011-02-28,방한외래관광객,E,130,일  본,221318,1
2011-03-31,방한외래관광객,E,130,일  본,268355,1
2011-04-30,방한외래관광객,E,130,일  본,220142,1
2011-05-31,방한외래관광객,E,130,일  본,234626,1
2011-06-30,방한외래관광객,E,130,일  본,254872,1
2011-07-31,방한외래관광객,E,130,일  본,275317,1
2011-08-31,방한외래관광객,E,130,일  본,325927,1
2011-09-30,방한외래관광객,E,130,일  본,321231,1
2011-10-31,방한외래관광객,E,130,일  본,340172,1
2011-11-30,방한외래관광객,E,130,일  본,331721,1
2011-12-31,방한외래관광객,E,130,일  본,299069,1
2012-01-31,방한외래관광객,E,130,일  본,244370,1
2012-02-29,방한외래관광객,E,130,일  본,294317,1
2012-03-31,방한외래관광객,E,130,일  본,360719,1
2012-04-30,방한외래관광객,E,130,일  본,298656,1
2012-05-31,방한외래관광객,E,130,일  본,316598,1
2012-06-30,방한외래관광객,E,130,일  본,302383,1
2012-07-31,방한외래관광객,E,130,일  본,299477,1
2012-08-31,방한외래관광객,E,130,일  본,346950,1
2012-09-30,방한외래관광객,E,130,일  본,308882,1
2012-10-31,방한외래관광객,E,130,일  본,269732,1
2012-11-30,방한외래관광객,E,130,일  본,249481,1
2012-12-31,방한외래관광객,E,130,일  본,227227,1
2013-01-31,방한외래관광객,E,130,일  본,206474,1
2013-02-28,방한외래관광객,E,130,일  본,217153,1
2013-03-31,방한외래관광객,E,130,일  본,288900,1
2013-04-30,방한외래관광객,E,130,일  본,202529,1
2013-05-31,방한외래관광객,E,130,일  본,222936,1
2013-06-30,방한외래관광객,E,130,일  본,201163,1
2013-07-31,방한외래관광객,E,130,일  본,208219,1
2013-08-31,방한외래관광객,E,130,일  본,270582,1
2013-09-30,방한외래관광객,E,130,일  본,246926,1
2013-10-31,방한외래관광객,E,130,일  본,245021,1
2013-11-30,방한외래관광객,E,130,일  본,222797,1
2013-12-31,방한외래관광객,E,130,일  본,215050,1
2014-01-31,방한외래관광객,E,130,일  본,172077,1
2014-02-28,방한외래관광객,E,130,일  본,189722,1
2014-03-31,방한외래관광객,E,130,일  본,247262,1
2014-04-30,방한외래관광객,E,130,일  본,179593,1
2014-05-31,방한외래관광객,E,130,일  본,201489,1
2014-06-30,방한외래관광객,E,130,일  본,173056,1
2014-07-31,방한외래관광객,E,130,일  본,172427,1
2014-08-31,방한외래관광객,E,130,일  본,208147,1
2014-09-30,방한외래관광객,E,130,일  본,196306,1
2014-10-31,방한외래관광객,E,130,일  본,190335,1
2014-11-30,방한외래관광객,E,130,일  본,179533,1
2014-12-31,방한외래관광객,E,130,일  본,170487,1
2015-01-31,방한외래관광객,E,130,일  본,139632,1
2015-02-28,방한외래관광객,E,130,일  본,142587,1
2015-03-31,방한외래관광객,E,130,일  본,218932,1
2015-04-30,방한외래관광객,E,130,일  본,154402,1
2015-05-31,방한외래관광객,E,130,일  본,188420,1
2015-06-30,방한외래관광객,E,130,일  본,101206,1
2015-07-31,방한외래관광객,E,130,일  본,81748,1
2015-08-31,방한외래관광객,E,130,일  본,148632,1
2015-09-30,방한외래관광객,E,130,일  본,157313,1
2015-10-31,방한외래관광객,E,130,일  본,180348,1
2015-11-30,방한외래관광객,E,130,일  본,164685,1
2015-12-31,방한외래관광객,E,130,일  본,159877,1
2016-01-31,방한외래관광객,E,130,일  본,136884,1
2016-02-29,방한외래관광객,E,130,일  본,144493,1
2016-03-31,방한외래관광객,E,130,일  본,224328,1
2016-04-30,방한외래관광객,E,130,일  본,175283,1
2016-05-31,방한외래관광객,E,130,일  본,178735,1
2016-06-30,방한외래관광객,E,130,일  본,180192,1
2016-07-31,방한외래관광객,E,130,일  본,186194,1
2016-08-31,방한외래관광객,E,130,일  본,225456,1
2016-09-30,방한외래관광객,E,130,일  본,208759,1
2016-10-31,방한외래관광객,E,130,일  본,227149,1
2016-11-30,방한외래관광객,E,130,일  본,213211,1
2016-12-31,방한외래관광객,E,130,일  본,197209,1
2017-01-31,방한외래관광객,E,130,일  본,154862,1
2017-02-28,방한외래관광객,E,130,일  본,185032,1
2017-03-31,방한외래관광객,E,130,일  본,274478,1
2017-04-30,방한외래관광객,E,130,일  본,165748,1
2017-05-31,방한외래관광객,E,130,일  본,159379,1
2017-06-30,방한외래관광객,E,130,일  본,167785,1
2017-07-31,방한외래관광객,E,130,일  본,170634,1
2017-08-31,방한외래관광객,E,130,일  본,226735,1
2017-09-30,방한외래관광객,E,130,일  본,219968,1
2017-10-31,방한외래관광객,E,130,일  본,179661,1
2017-11-30,방한외래관광객,E,130,일  본,213460,1
2017-12-31,방한외래관광객,E,130,일  본,193705,1
