Year,Month,Net_Revenue_NTD_Million,YoY_Change
2023,Jan.,200051,16.2%
2023,Feb.,163174,11.1%
2023,Mar.,145408,-15.4%
2023,Apr.,147900,-14.3%
2023,May,176537,-4.9%
2023,Jun.,156404,-11.1%
2023,Jul.,177616,-4.9%
2023,Aug.,188686,-13.5%
2023,Sept.,180430,-13.4%
2023,Oct.,243203,15.7%
2023,Nov.,206026,-7.5%
2023,Dec.,176300,-8.4%
2024,Jan.,215785,7.9%
2024,Feb.,181648,11.3%
2024,Mar.,195211,34.3%
2024,Apr.,236021,59.6%
2024,May,229620,30.1%
2024,Jun.,207869,32.9%
2024,Jul.,256953,44.7%
2024,Aug.,250866,33.0%
2024,Sept.,251873,39.6%
2024,Oct.,314240,29.2%
2024,Nov.,276058,34.0%
2024,Dec.,278163,57.8%
2025,Jan.,293288,35.9%
2025,Feb.,260009,43.1%
2025,Mar.,285957,46.5%
2025,Apr.,349567,48.1%
2025,May,320516,39.6%
2025,Jun.,263709,26.9%
2025,Jul.,323166,25.8%
2025,Aug.,335772,33.8%
2025,Sept.,330980,31.4%
2025,Oct.,367473,16.9%
2025,Nov.,343614,24.5%
2025,Dec.,335003,20.4%
