date,revenue,net_income,operating_income,gross_profit,total_assets,current_assets,total_liabilities,current_liabilities,stockholders_equity,cash,long_term_debt,cost_of_revenue,operating_expenses,research_development,income_tax_expense,pretax_income,interest_expense,interest_income,net_ppe,accumulated_depreciation,intangible_assets,goodwill,other_noncurrent_assets,accounts_payable,accounts_receivable,deferred_revenue,accrued_liabilities,depreciation_amortization,capital_expenditures,net_income_ttm,roe,roic,roa,gross_margin,operating_margin,net_margin,debt_to_equity,debt_to_assets,equity_multiplier,current_ratio,receivables_turnover,days_receivables,asset_turnover
2017-12-31,,,,,,,,,-1501562000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-31,,,,,,,,,-1751428000.0,1116342000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-06-30,,,,,,,,,-1800409000.0,1116342000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-30,,-139860000.0,-144140000.0,125468000.0,,,,,-1892590000.0,507319000.0,,65073000.0,269608000.0,75880000.0,2026000.0,-137834000.0,173000.0,3390000.0,,,,,,,,,,,,-139860000.0,7.389873136812517,,,,,,,,,,,,
2019-12-31,,-139860000.0,-144140000.0,125468000.0,1594025000.0,1214153000.0,1447436000.0,728598000.0,-1980642000.0,1079154000.0,396065000.0,65073000.0,269608000.0,75880000.0,2026000.0,-137834000.0,173000.0,3390000.0,31589000.0,108612000.0,,,77574000.0,51735000.0,50315000.0,186105000.0,126620000.0,,,-279720000.0,16.06568713378079,-27.872314094333493,-17.548030927996738,,,,-73.07913292760631,90.8038456109534,-0.8048021803031542,1.6664237343500805,,,
2020-03-31,229327000.0,-54274000.0,-70185000.0,165033000.0,1594025000.0,1214153000.0,1447436000.0,728598000.0,-1976619000.0,809530000.0,396065000.0,64294000.0,235218000.0,65800000.0,2557000.0,-51717000.0,4594000.0,3267000.0,31589000.0,108612000.0,,,77574000.0,51735000.0,50315000.0,186105000.0,126620000.0,3671000.0,3016000.0,-333994000.0,17.917907150848688,-13.571655090264995,-20.952870877181976,71.96405133281297,-30.604769608463023,-23.666641956681943,-73.2278704191349,90.8038456109534,-0.8064401890298535,1.6664237343500805,4.557825698101958,80.0820444169243,0.14386662693496025
2020-06-30,251889000.0,-110455000.0,-99145000.0,183479000.0,1594025000.0,1214153000.0,1447436000.0,728598000.0,-1398701000.0,1497591000.0,396065000.0,68410000.0,282624000.0,86815000.0,943000.0,-109512000.0,5646000.0,551000.0,31589000.0,108612000.0,,,77574000.0,51735000.0,50315000.0,186105000.0,126620000.0,3671000.0,3016000.0,-444449000.0,27.785790422961387,-19.171642714601735,-27.882185034739106,72.8412118036119,-39.36059137159622,-43.85066437994514,-103.48430436526463,90.8038456109534,-1.1396467150591871,1.6664237343500805,5.006240683692735,72.90899959902974,0.15802073367732627
2020-09-30,289366000.0,-853319000.0,-847777000.0,140026000.0,2603712000.0,2394424000.0,1351959000.0,942187000.0,1251753000.0,1800190000.0,197753000.0,149340000.0,987803000.0,313915000.0,-8543000.0,-861862000.0,2085000.0,494000.0,29369000.0,92964000.0,,,93576000.0,22221000.0,162269000.0,172066000.0,466999000.0,3671000.0,3016000.0,-1157908000.0,361.3736410350838,-56.65295727598105,-44.47143155617825,48.3906194922693,-292.9774057767671,-294.89262733009406,108.00525343258613,51.92429116584323,2.0800525343258616,2.541346887613605,1.7832488029136804,204.68259919962952,0.11113594744733672
2020-12-31,289366000.0,-853319000.0,-847777000.0,140026000.0,2690504000.0,2257429000.0,1167954000.0,603823000.0,1522550000.0,2011323000.0,197977000.0,149340000.0,987803000.0,313915000.0,-8543000.0,-861862000.0,2085000.0,494000.0,29541000.0,88399000.0,,,106921000.0,16358000.0,156932000.0,189520000.0,158546000.0,3671000.0,3016000.0,-1871367000.0,817.0267107917188,-76.29660023863862,-87.35461937589872,48.3906194922693,-292.9774057767671,-294.89262733009406,76.71038717940297,43.41023094557748,1.7671038717940297,3.7385608034142455,2.792474679971242,130.70843672027814,0.13507482386045233
2021-03-31,341234000.0,-123474000.0,-114014000.0,267123000.0,3014185000.0,2589698000.0,1208242000.0,667626000.0,1805943000.0,2339437000.0,198185000.0,74111000.0,381137000.0,98471000.0,3102000.0,-120372000.0,1840000.0,376000.0,27378000.0,91570000.0,,,111845000.0,17234000.0,151400000.0,186498000.0,181603000.0,3237000.0,708000.0,-1940567000.0,2273.9775949752748,-9.244650720791505,-84.22216001440907,78.28147253790654,-33.412262552969516,-36.184553708012686,66.90366196496788,40.08519715943116,1.6690366196496789,3.878965169121634,3.3833279627196786,107.8819446479542,0.14809828545140086
2021-06-30,375642000.0,-138580000.0,-146148000.0,284716000.0,3075668000.0,2662552000.0,1006705000.0,682586000.0,2068963000.0,2341156000.0,198185000.0,90926000.0,430864000.0,110524000.0,-5661000.0,-144241000.0,590000.0,372000.0,24824000.0,89943000.0,,,117135000.0,30914000.0,242998000.0,194511000.0,166252000.0,3237000.0,708000.0,-1968692000.0,-587.4395385685001,-11.135276047803917,-84.31783417025488,75.79450647158731,-38.90619259827176,-36.89150840427854,48.657467533252166,32.73126358241527,1.4865746753325217,3.9006835768679697,2.5613730042650684,142.5016970945741,0.1608850945875885
2021-09-30,392146000.0,-102137000.0,-91941000.0,305342000.0,3224327000.0,2811490000.0,976271000.0,681509000.0,2248056000.0,2335068000.0,198185000.0,86804000.0,397283000.0,94316000.0,1438000.0,-100699000.0,609000.0,379000.0,28778000.0,92214000.0,,,116422000.0,17654000.0,174405000.0,208100000.0,179467000.0,3237000.0,708000.0,-1217510000.0,-69.57579685062814,-5.051196789332938,-41.78112054500665,77.86436684296156,-23.445604443243077,-26.04565646468407,43.4273434469604,30.278287531010346,1.434273434469604,4.125389393243523,2.3295294557940323,156.68400289688023,0.13457219486691835
2021-12-31,392146000.0,-102137000.0,-91941000.0,305342000.0,3247450000.0,2863250000.0,956420000.0,660061000.0,2291030000.0,2290674000.0,0.0,86804000.0,397283000.0,94316000.0,1438000.0,-100699000.0,609000.0,379000.0,31304000.0,69930000.0,3836000.0,1869000.0,96386000.0,74907000.0,190923000.0,227816000.0,155806000.0,3237000.0,708000.0,-466328000.0,-24.45618028204469,-4.686867965983109,-15.70668954323324,77.86436684296156,-23.445604443243077,-26.04565646468407,41.746288787139406,29.45141572618516,1.4174628878713942,4.33785665264271,2.25465208204568,161.88750490888597,0.13208118486603299
