date,revenue,net_income,operating_income,gross_profit,total_assets,current_assets,total_liabilities,current_liabilities,stockholders_equity,cash,long_term_debt,cost_of_revenue,operating_expenses,research_development,income_tax_expense,pretax_income,interest_expense,interest_income,net_ppe,accumulated_depreciation,intangible_assets,goodwill,other_noncurrent_assets,accounts_payable,accounts_receivable,deferred_revenue,accrued_liabilities,depreciation_amortization,capital_expenditures,net_income_ttm,roe,roic,roa,gross_margin,operating_margin,net_margin,debt_to_equity,debt_to_assets,equity_multiplier,current_ratio,receivables_turnover,days_receivables,asset_turnover
2017-12-31,,,,,,,,,-1501562000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-31,,,,,,,,,-1751428000,1116342000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-06-30,,,,,,,,,-1800409000,1116342000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-30,,-139860000,-144140000,125468000,,,,,-1892590000,507319000,,65073000,269608000,75880000,2026000,-137834000,173000,3390000,,,,,,,,,,,,-139860000,7.389873137,,,,,,,,,,,,
2019-12-31,,-139860000,-144140000,125468000,1594025000,1214153000,1447436000,728598000,-1980642000,1079154000,396065000,65073000,269608000,75880000,2026000,-137834000,173000,3390000,31589000,108612000,,,77574000,51735000,50315000,186105000,126620000,,,-279720000,16.06568713,-27.87231409,-17.54803093,,,,-73.07913293,90.80384561,-0.80480218,1.666423734,,,
2020-03-31,229327000,-54274000,-70185000,165033000,1594025000,1214153000,1447436000,728598000,-1976619000,809530000,396065000,64294000,235218000,65800000,2557000,-51717000,4594000,3267000,31589000,108612000,,,77574000,51735000,50315000,186105000,126620000,3671000,3016000,-333994000,17.91790715,-13.57165509,-20.95287088,71.96405133,-30.60476961,-23.66664196,-73.22787042,90.80384561,-0.806440189,1.666423734,4.557825698,80.08204442,0.143866627
2020-06-30,251889000,-110455000,-99145000,183479000,1594025000,1214153000,1447436000,728598000,-1398701000,1497591000,396065000,68410000,282624000,86815000,943000,-109512000,5646000,551000,31589000,108612000,,,77574000,51735000,50315000,186105000,126620000,3671000,3016000,-444449000,27.78579042,-19.17164271,-27.88218503,72.8412118,-39.36059137,-43.85066438,-103.4843044,90.80384561,-1.139646715,1.666423734,5.006240684,72.9089996,0.158020734
2020-09-30,289366000,-853319000,-847777000,140026000,2603712000,2394424000,1351959000,942187000,1251753000,1800190000,197753000,149340000,987803000,313915000,-8543000,-861862000,2085000,494000,29369000,92964000,,,93576000,22221000,162269000,172066000,466999000,3671000,3016000,-1157908000,361.373641,-56.65295728,-44.47143156,48.39061949,-292.9774058,-294.8926273,108.0052534,51.92429117,2.080052534,2.541346888,1.783248803,204.6825992,0.111135947
2020-12-31,289366000,-853319000,-847777000,140026000,2690504000,2257429000,1167954000,603823000,1522550000,2011323000,197977000,149340000,987803000,313915000,-8543000,-861862000,2085000,494000,29541000,88399000,,,106921000,16358000,156932000,189520000,158546000,3671000,3016000,-1871367000,817.0267108,-76.29660024,-87.35461938,48.39061949,-292.9774058,-294.8926273,76.71038718,43.41023095,1.767103872,3.738560803,2.79247468,130.7084367,0.135074824
2021-03-31,341234000,-123474000,-114014000,267123000,3014185000,2589698000,1208242000,667626000,1805943000,2339437000,198185000,74111000,381137000,98471000,3102000,-120372000,1840000,376000,27378000,91570000,,,111845000,17234000,151400000,186498000,181603000,3237000,708000,-1940567000,2273.977595,-9.244650721,-84.22216001,78.28147254,-33.41226255,-36.18455371,66.90366196,40.08519716,1.66903662,3.878965169,3.383327963,107.8819446,0.148098285
2021-06-30,375642000,-138580000,-146148000,284716000,3075668000,2662552000,1006705000,682586000,2068963000,2341156000,198185000,90926000,430864000,110524000,-5661000,-144241000,590000,372000,24824000,89943000,,,117135000,30914000,242998000,194511000,166252000,3237000,708000,-1968692000,-587.4395386,-11.13527605,-84.31783417,75.79450647,-38.9061926,-36.8915084,48.65746753,32.73126358,1.486574675,3.900683577,2.561373004,142.5016971,0.160885095
2021-09-30,392146000,-102137000,-91941000,305342000,3224327000,2811490000,976271000,681509000,2248056000,2335068000,198185000,86804000,397283000,94316000,1438000,-100699000,609000,379000,28778000,92214000,,,116422000,17654000,174405000,208100000,179467000,3237000,708000,-1217510000,-69.57579685,-5.051196789,-41.78112055,77.86436684,-23.44560444,-26.04565646,43.42734345,30.27828753,1.434273434,4.125389393,2.329529456,156.6840029,0.134572195
2021-12-31,392146000,-102137000,-91941000,305342000,3247450000,2863250000,956420000,660061000,2291030000,2290674000,0,86804000,397283000,94316000,1438000,-100699000,609000,379000,31304000,69930000,3836000,1869000,96386000,74907000,190923000,227816000,155806000,3237000,708000,-466328000,-24.45618028,-4.686867966,-15.70668954,77.86436684,-23.44560444,-26.04565646,41.74628879,29.45141573,1.417462888,4.337856653,2.254652082,161.8875049,0.132081185
2022-03-31,446357000,-101379000,-39439000,351954000,3319179000,2927374000,954433000,669104000,2364746000,2269411000,0,94403000,391393000,88601000,2023000,-99356000,594000,547000,41866000,69745000,3836000,1869000,95829000,27454000,256554000,218521000,150176000,4312000,15215000,-444233000,-21.3026193,-1.853645262,-14.0283426,78.85033729,-8.835752548,-22.71253727,40.3609098,28.75509275,1.403609098,4.37506576,2.188271227,166.7983363,0.14095416
2022-06-30,473010000,-179329000,-41745000,370786000,3282338000,2902439000,933514000,665742000,2348824000,2358393000,0,102224000,412531000,88171000,2588000,-176741000,670000,1472000,47644000,71385000,3836000,1869000,92198000,56798000,265826000,219441000,187568000,4312000,15215000,-484982000,-21.95587972,-1.94396247,-15.25578932,78.38861758,-8.825394812,-37.91230629,39.74388886,28.44052014,1.397438889,4.359705411,1.859228338,196.318006,0.148791933
2022-09-30,477880000,-123875000,-62191000,370269000,3318835000,2946610000,932220000,688350000,2386615000,2411290000,0,107611000,432460000,100863000,1096000,-122779000,1082000,5540000,57822000,74677000,3836000,1869000,94142000,59507000,343264000,189771000,164697000,4312000,15215000,-506720000,-21.86649279,-2.776045598,-15.48853597,77.48158534,-13.01393655,-25.92177953,39.06034279,28.08877211,1.390603428,4.280685698,1.846276289,197.6952216,0.14607005
2022-12-31,477880000,-123875000,-62191000,370269000,3461239000,3041577000,818802000,587941000,2565326000,2598540000,0,107611000,432460000,100863000,1096000,-122779000,1082000,5540000,69170000,82412000,35539000,37938000,150252000,44788000,258346000,183350000,172715000,4312000,15215000,-528458000,-21.76356099,-2.571745862,-15.75443429,77.48158534,-13.01393655,-25.92177953,31.91804862,23.65632654,1.349239434,5.173269087,2.1273669,171.5736011,0.142465987
2023-03-31,525186000,16802000,4115000,417541000,3683138000,3256147000,879945000,601413000,2723733000,1264738000,0,107645000,413426000,90100000,1681000,20832000,1275000,20853000,63115000,85527000,33130000,37938000,141762000,4530000,254041000,229551000,174525000,8320000,4755000,-410277000,-16.12572244,0.148503526,-11.71832124,79.50345211,0.78353193,3.199247505,32.30658071,23.89117649,1.352239004,5.414161317,2.057152929,177.4296868,0.150003492
2023-06-30,533317000,28127000,10074000,426418000,3980264000,3576914000,945126000,685384000,2955474000,1055923000,0,106899000,416344000,99533000,2171000,30043000,1317000,30310000,54097000,90431000,30721000,37938000,149592000,4613000,375756000,260335000,184617000,8320000,4755000,-202821000,-7.647421016,0.352392031,-5.585353569,79.95582365,1.888932849,5.273974015,31.97882979,23.74530936,1.346743027,5.218846661,1.662506118,219.5480643,0.146866646
2023-09-30,558159000,71505000,39983000,450237000,4193417000,3809397000,921520000,688925000,3190015000,1040310000,0,107922000,410254000,105708000,6530000,79969000,742000,36864000,50133000,95548000,28312000,37938000,143696000,9475000,430269000,223507000,174753000,8320000,4755000,-7441000,-0.266863679,1.321118449,-0.198103046,80.66464932,7.163371011,12.81086572,28.88763846,21.9753962,1.314544602,5.529479987,1.443142051,252.9203551,0.148599648
2023-12-31,558159000,71505000,39983000,450237000,4522425000,4138618000,961460000,746018000,3475561000,831047000,0,107922000,410254000,105708000,6530000,79969000,742000,36864000,47758000,102158000,25902000,37938000,153186000,12122000,364784000,246901000,222991000,8320000,4755000,187939000,6.222231934,1.203777948,4.708088918,80.66464932,7.163371011,12.81086572,27.66344771,21.25983294,1.301207201,5.547611452,1.791468875,203.7434226,0.139825273
