date,revenue,net_income,operating_income,gross_profit,total_assets,current_assets,total_liabilities,current_liabilities,stockholders_equity,cash,long_term_debt,cost_of_revenue,operating_expenses,research_development,income_tax_expense,pretax_income,interest_expense,net_ppe,accumulated_depreciation,intangible_assets,goodwill,other_noncurrent_assets,short_term_debt,long_term_debt_current,accounts_payable,accounts_receivable,inventory,deferred_revenue,accrued_liabilities,non_interest_current_liabilities,depreciation_amortization,capital_expenditures,net_income_ttm,roe,roic,roa,gross_margin,operating_margin,net_margin,debt_to_equity,debt_to_assets,equity_multiplier,current_ratio,quick_ratio,inventory_turnover,days_inventory,receivables_turnover,days_receivables,asset_turnover,revenue_yoy_growth,revenue_qoq_growth,gross_profit_yoy_growth,gross_profit_qoq_growth,operating_income_yoy_growth,operating_income_qoq_growth,net_income_yoy_growth,net_income_qoq_growth,total_assets_yoy_growth,total_assets_qoq_growth,stockholders_equity_yoy_growth,stockholders_equity_qoq_growth,revenue_ttm,revenue_ttm_yoy_growth,net_income_ttm_yoy_growth,roe_ttm,roe_trend,roa_ttm,roa_trend,roic_ttm,roic_trend,gross_margin_ttm,gross_margin_trend,operating_margin_ttm,operating_margin_trend,net_margin_ttm,net_margin_trend,interest_coverage,days_payable,cash_conversion_cycle,revenue_forecast,operating_income_forecast,operating_margin_forecast
2006-09-30,,,,,,,,,9984000000.0,6392000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-09-29,,,,,,,,,14531000000.0,9352000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.54286858974359,,,,,,,,,,,,,,,,,,,,,
2008-06-28,,1072000000.0,1392000000.0,2600000000.0,,,,,14531000000.0,9373000000.0,,4864000000.0,1208000000.0,292000000.0,438000000.0,,,,,,,,,,,,,,,,,,1072000000.0,7.377331222902759,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,7.377331222902759,,,,,,,,,,,,,,,,,
2008-09-27,,1072000000.0,1392000000.0,2600000000.0,36171000000.0,30006000000.0,13874000000.0,11361000000.0,22297000000.0,11875000000.0,,4864000000.0,1208000000.0,292000000.0,438000000.0,,,,,285000000.0,207000000.0,839000000.0,,,5520000000.0,2422000000.0,509000000.0,1617000000.0,4224000000.0,,,,2144000000.0,9.615643360093285,,5.9274004036382735,,,,62.22361752702157,38.35669458958834,1.6222361752702157,2.6411407446527595,2.5963383504973154,9.555992141453832,38.19592927631579,,,,,,,0.0,,0.0,,0.0,,,,53.444360333081,,,,8.496487291498022,,5.9274004036382735,,,,,,,,,,,,,,,
2008-12-27,,2255000000.0,3101000000.0,4507000000.0,36171000000.0,30006000000.0,13874000000.0,11361000000.0,22297000000.0,7236000000.0,,7373000000.0,1406000000.0,315000000.0,1004000000.0,,,,,285000000.0,207000000.0,839000000.0,,,5520000000.0,2422000000.0,509000000.0,1617000000.0,4224000000.0,,,,4399000000.0,27.25442210588272,,12.16167648115894,,,,62.22361752702157,38.35669458958834,1.6222361752702157,2.6411407446527595,2.5963383504973154,14.485265225933203,25.198019801980198,,,,,,,73.34615384615384,,122.77298850574714,,110.35447761194028,,0.0,123.32732371794873,0.0,,,,14.749132229626255,,9.044538442398608,,,,,,,,,,,,,,,
2009-03-28,,1620000000.0,2323000000.0,3627000000.0,36171000000.0,30006000000.0,13874000000.0,11361000000.0,22297000000.0,4466000000.0,,5457000000.0,1304000000.0,319000000.0,766000000.0,,,,,285000000.0,207000000.0,839000000.0,,,5520000000.0,2422000000.0,509000000.0,1617000000.0,4224000000.0,,,,6019000000.0,32.687085912892364,,16.64040253241547,,,,62.22361752702157,38.35669458958834,1.6222361752702157,2.6411407446527595,2.5963383504973154,10.721021611001964,34.04526296499908,,,,,,,-19.525183048591078,,-25.088681070622375,,-28.159645232815965,,0.0,53.444360333081,0.0,,,,19.23362065044278,,11.576493139070896,,,,,,,,,,,,,,,
2009-06-27,,1828000000.0,2632000000.0,3983000000.0,48140000000.0,35170000000.0,22252000000.0,16661000000.0,25888000000.0,5605000000.0,,5751000000.0,1351000000.0,341000000.0,864000000.0,,,,,259000000.0,207000000.0,2952000000.0,,,5520000000.0,2686000000.0,380000000.0,8469000000.0,4224000000.0,,,,6775000000.0,33.5238377990549,,14.073535521395927,,,,85.9548825710754,46.22351474864977,1.859548825710754,2.1109177120220877,2.088109957385511,15.134210526315789,24.11754477482177,,,,,,53.19230769230769,9.815274331403367,89.08045977011494,13.3017649591046,70.5223880597015,12.83950617283951,,33.090044510795934,78.15704356203979,16.105305646499524,,,531.9962686567164,25.770247294480818,,12.200753734652153,,,,,,,,,,,,,,,
2009-09-26,,2532000000.0,2632000000.0,5105000000.0,47501000000.0,31555000000.0,15861000000.0,11506000000.0,31640000000.0,5263000000.0,,5751000000.0,1351000000.0,341000000.0,864000000.0,,,,,247000000.0,206000000.0,2011000000.0,,,5601000000.0,3361000000.0,455000000.0,2053000000.0,3852000000.0,,,,8235000000.0,30.535624895711667,,19.684004206903147,,,,50.12958280657396,33.39087598155828,1.5012958280657396,2.7424821832087605,2.702937597775074,11.931535269709544,30.591201530168664,,,,,,96.34615384615384,28.169721315591257,89.08045977011494,0.0,136.1940298507463,38.51203501094091,31.3234359016892,-1.3273784794349819,41.90249809391398,22.218788627935716,,,284.09514925373134,31.000242678385415,,15.639904685468371,,,,,,,,,,,352.9094940010433,,,,
2009-12-26,,3378000000.0,4725000000.0,6411000000.0,53926000000.0,33332000000.0,18158000000.0,13097000000.0,35768000000.0,7609000000.0,,9272000000.0,1686000000.0,398000000.0,1380000000.0,,,,,241000000.0,253000000.0,1961000000.0,,,6511000000.0,3090000000.0,576000000.0,2590000000.0,3996000000.0,,,,9358000000.0,32.23284250409024,,20.773166698114252,,,,50.76604786401252,33.67206913177317,1.5076604786401253,2.5450103077040542,2.5010307704054364,17.091244239631337,21.35596419327006,,,,,,42.24539605058797,25.582761998041125,52.370203160270876,79.52127659574468,49.80044345898005,33.41232227488151,49.08628459262945,13.526031030925667,60.41619948872046,13.046776232616942,,,112.73016594680607,32.244847777937295,,17.7927772397072,,,,,,,,,,,236.80516609145815,,,,
2010-03-27,,3074000000.0,3979000000.0,5625000000.0,57057000000.0,32336000000.0,17709000000.0,12229000000.0,39348000000.0,10018000000.0,,7874000000.0,1646000000.0,426000000.0,955000000.0,,,,,263000000.0,480000000.0,1925000000.0,,,5666000000.0,2886000000.0,638000000.0,2542000000.0,4021000000.0,,,,10812000000.0,35.078270743774844,,23.194748358862142,,,,45.006099420555046,31.037383668962615,1.4500609942055505,2.644206394635702,2.5920353258647477,13.72972972972973,26.584645669291337,,,,,,55.08684863523574,-12.260177819372952,71.28712871287128,-15.788359788359784,89.75308641975307,-8.999407933688575,57.74239031268142,5.806104661944156,76.4721711441001,10.008946544397235,,,79.63116796810101,32.842643985657915,,19.43136369631887,,,,,,,,,,,259.26403352806705,,,,
2010-06-26,,3253000000.0,4234000000.0,6136000000.0,64725000000.0,36033000000.0,21614000000.0,15612000000.0,43111000000.0,9705000000.0,,9564000000.0,1902000000.0,464000000.0,1039000000.0,,,,,318000000.0,714000000.0,2119000000.0,,,8469000000.0,3447000000.0,942000000.0,2691000000.0,4452000000.0,,,,12237000000.0,35.47007927651125,,21.68431311744119,,,,50.135696226021196,33.39358825801468,1.501356962260212,2.308032282859339,2.247694081475788,14.468986384266262,25.226369719782518,,,,,,54.054732613607825,9.08444444444445,60.866261398176306,6.408645388288514,77.95404814004377,5.823031880286278,34.45159950145409,13.439192386560816,66.5288936959209,9.563383145267856,,,80.619926199262,33.329204355022,,21.33405809533018,,,,,,,,,,,266.93773525721457,,,,
2010-09-25,,4308000000.0,4234000000.0,7512000000.0,75183000000.0,41678000000.0,27392000000.0,20722000000.0,47791000000.0,11261000000.0,,9564000000.0,1902000000.0,464000000.0,1039000000.0,,,,,342000000.0,741000000.0,2263000000.0,,,12015000000.0,5510000000.0,1051000000.0,2984000000.0,5723000000.0,,,,14013000000.0,35.28345356347018,,22.844054644452413,,,,57.316231089535684,36.43376827208279,1.573162310895357,2.0112923462986196,1.9605733037351607,12.701195219123505,28.73745294855709,,,,,,47.14985308521058,22.42503259452413,60.866261398176306,0.0,70.14218009478672,32.43160159852443,58.276667859624,16.15758980301274,51.046144121365366,10.855698081696087,,,70.1639344262295,34.51616152196163,,22.1240707047175,,,,,,,,,,,336.14805520702635,,,,
2010-12-25,,6004000000.0,7827000000.0,10298000000.0,86742000000.0,43927000000.0,32076000000.0,23795000000.0,54666000000.0,10734000000.0,,16443000000.0,2471000000.0,575000000.0,1959000000.0,,,,,522000000.0,741000000.0,2954000000.0,,,14301000000.0,6027000000.0,885000000.0,3541000000.0,5953000000.0,,,,16639000000.0,36.798106906694386,,23.657121733443283,,,,58.6763253210405,36.97862627101058,1.586763253210405,1.846060096658962,1.808867409119563,22.50924024640657,16.21556285349389,,,,,,60.630166900639516,37.08732694355699,65.65079365079364,84.8606518658479,77.73830669034932,39.3686165273909,60.85376256351296,15.374486253541363,52.83493625587117,14.38555376535331,,,77.80508655695661,35.65747762261267,,22.84505946354976,,,,,,,,,,,230.99130329015387,,,,
