failed_ticker,timestamp
NNE,2025-08-20 00:23:51
ALGT,2025-08-20 00:23:51
FFIV,2025-08-20 00:23:51
XGN,2025-08-20 00:23:51
ABNB,2025-08-20 00:23:51
OKLO,2025-08-20 00:23:51
WFC,2025-08-20 00:23:51
MSFT,2025-08-20 00:23:51
FXNC,2025-08-20 00:23:51
ASML,2025-08-20 00:23:51
PSO,2025-08-20 00:23:51
SHEL,2025-08-20 00:23:51
VKTX,2025-08-20 00:23:51
ENTA,2025-08-20 00:23:51
UBER,2025-08-20 00:23:51
HST,2025-08-20 00:23:51
COKE,2025-08-20 00:23:51
WEC,2025-08-20 00:23:51
PRFX,2025-08-20 00:23:51
DDS,2025-08-20 00:23:51
DUOL,2025-08-20 00:23:51
JEF,2025-08-20 00:23:51
RBLX,2025-08-20 00:23:51
STM,2025-08-20 00:23:51
BJ,2025-08-20 00:23:51
NTLA,2025-08-20 00:23:51
KNSL,2025-08-20 00:23:51
LASE,2025-08-20 00:23:51
PHG,2025-08-20 00:23:51
TEM,2025-08-20 00:23:51
WMT,2025-08-20 00:23:51
WTRG,2025-08-20 00:23:51
TM,2025-08-20 00:23:51
NVDA,2025-08-20 00:23:51
GGB,2025-08-20 00:23:51
TSLA,2025-08-20 00:23:51
LCID,2025-08-20 00:23:51
MLGO,2025-08-20 00:23:51
EG,2025-08-20 00:23:51
AXTA,2025-08-20 00:23:51
GIS,2025-08-20 00:23:51
BYON,2025-08-20 00:23:51
PBF,2025-08-20 00:23:51
RBC,2025-08-20 00:23:51
TNGX,2025-08-20 00:23:51
GIL,2025-08-20 00:23:51
BV,2025-08-20 00:23:51
ESEA,2025-08-20 00:23:51
BMNR,2025-08-20 00:23:51
PLTR,2025-08-20 00:23:51
BIDU,2025-08-20 00:23:51
APLD,2025-08-20 00:23:51
PYPL,2025-08-20 00:23:51
RTX,2025-08-20 00:23:51
WEX,2025-08-20 00:23:51
M,2025-08-20 00:23:51
APPS,2025-08-20 00:23:51
IMNN,2025-08-20 00:23:51
MVIS,2025-08-20 00:23:51
AVBP,2025-08-20 00:23:51
GTI,2025-08-20 00:23:51
IVF,2025-08-20 00:23:51
RR,2025-08-20 00:23:51
OUST,2025-08-20 00:23:51
STZ,2025-08-20 00:23:51
KVYO,2025-08-20 00:23:51
PSKY,2025-08-20 00:23:51
ARVN,2025-08-20 00:23:51
DAR,2025-08-20 00:23:51
SQM,2025-08-20 00:23:51
NVAX,2025-08-20 00:23:51
CGNT,2025-08-20 00:23:51
STWD,2025-08-20 00:23:51
AAOI,2025-08-20 00:23:51
AMD,2025-08-20 00:23:51
EXPI,2025-08-20 00:23:51
BDX,2025-08-20 00:23:51
PLUG,2025-08-20 00:23:51
LIF,2025-08-20 00:23:51
CVS,2025-08-20 00:23:51
BRO,2025-08-20 00:23:51
SHOP,2025-08-20 00:23:51
MMYT,2025-08-20 00:23:51
CYBR,2025-08-20 00:23:51
MFIC,2025-08-20 00:23:51
BE,2025-08-20 00:23:51
BBY,2025-08-20 00:23:51
CASH,2025-08-20 00:23:51
SES,2025-08-20 00:23:51
VOD,2025-08-20 00:23:51
EFC,2025-08-20 00:23:51
PCT,2025-08-20 00:23:51
COST,2025-08-20 00:23:51
CSX,2025-08-20 00:23:51
CVCO,2025-08-20 00:23:51
GDRX,2025-08-20 00:23:51
AEIS,2025-08-20 00:23:51
BRZE,2025-08-20 00:23:51
CDW,2025-08-20 00:23:51
DAVE,2025-08-20 00:23:51
CSCO,2025-08-20 00:23:51
CARE,2025-08-20 00:23:51
BSLK,2025-08-20 00:23:51
TH,2025-08-20 00:23:51
SMPL,2025-08-20 00:23:51
ODD,2025-08-20 00:23:51
RMSG,2025-08-20 00:23:51
ROKU,2025-08-20 00:23:51
OLLI,2025-08-20 00:23:51
RYAAY,2025-08-20 00:23:51
TGNA,2025-08-20 00:23:51
ONDS,2025-08-20 00:23:51
SLS,2025-08-20 00:23:51
MPWR,2025-08-20 00:23:51
MBUU,2025-08-20 00:23:51
RMBS,2025-08-20 00:23:51
LGHL,2025-08-20 00:23:51
PANW,2025-08-20 00:23:51
PENN,2025-08-20 00:23:51
PEP,2025-08-20 00:23:51
SBAC,2025-08-20 00:23:51
VTRS,2025-08-20 00:23:51
XRX,2025-08-20 00:23:51
JD,2025-08-20 00:23:51
TECH,2025-08-20 00:23:51
V,2025-08-20 00:23:51
APP,2025-08-20 00:23:51
EQT,2025-08-20 00:23:51
CATX,2025-08-20 00:23:51
GERN,2025-08-20 00:23:51
ATRC,2025-08-20 00:23:51
JBHT,2025-08-20 00:23:51
CRNX,2025-08-20 00:23:51
MKTX,2025-08-20 00:23:51
UL,2025-08-20 00:23:51
TME,2025-08-20 00:23:51
BCAL,2025-08-20 00:23:51
ARGX,2025-08-20 00:23:51
WELL,2025-08-20 00:23:51
CRUS,2025-08-20 00:23:51
EQNR,2025-08-20 00:23:51
FTRE,2025-08-20 00:23:51
NMRK,2025-08-20 00:23:51
SOL,2025-08-20 00:23:51
XNCR,2025-08-20 00:23:51
XP,2025-08-20 00:23:51
ERIC,2025-08-20 00:23:51
SOUN,2025-08-20 00:23:51
HQY,2025-08-20 00:23:51
JFIN,2025-08-20 00:23:51
NVTS,2025-08-20 00:23:51
CNXN,2025-08-20 00:23:51
TWG,2025-08-20 00:23:51
QCOM,2025-08-20 00:23:51
GILT,2025-08-20 00:23:51
ADP,2025-08-20 00:23:51
ECC,2025-08-20 00:23:51
LI,2025-08-20 00:23:51
DFLI,2025-08-20 00:23:51
LYFT,2025-08-20 00:23:51
MRVL,2025-08-20 00:23:51
MNDY,2025-08-20 00:23:51
CNQ,2025-08-20 00:23:51
KGC,2025-08-20 00:23:51
KULR,2025-08-20 00:23:51
ACHR,2025-08-20 00:23:51
REAX,2025-08-20 00:23:51
COLL,2025-08-20 00:23:51
ZTO,2025-08-20 00:23:51
AGRO,2025-08-20 00:23:51
BBAI,2025-08-20 00:23:51
SBET,2025-08-20 00:23:51
CHTR,2025-08-20 00:23:51
CEG,2025-08-20 00:23:51
GO,2025-08-20 00:23:51
WBTN,2025-08-20 00:23:51
FIG,2025-08-20 00:23:51
CAN,2025-08-20 00:23:51
AEYE,2025-08-20 00:23:51
ASTS,2025-08-20 00:23:51
BAC,2025-08-20 00:23:51
LQDA,2025-08-20 00:23:51
MAR,2025-08-20 00:23:51
