successful_ticker,timestamp
DIS,2025-08-20 10:02:31
PRKS,2025-08-20 10:02:31
GRP-UN,2025-08-20 10:02:31
NUS,2025-08-20 10:02:31
CVX,2025-08-20 10:02:31
MMS,2025-08-20 10:02:31
M,2025-08-20 10:02:31
NMAX,2025-08-20 10:02:31
T,2025-08-20 10:02:31
CSL,2025-08-20 10:02:31
XOM,2025-08-20 10:02:31
WOLF,2025-08-20 10:02:31
DECK,2025-08-20 10:02:31
CODI,2025-08-20 10:02:31
BAC,2025-08-20 10:02:31
NFG,2025-08-20 10:02:31
VNCE,2025-08-20 10:02:31
OVV,2025-08-20 10:02:31
CNP,2025-08-20 10:02:31
BRK-A,2025-08-20 10:02:31
BRT,2025-08-20 10:02:31
BBDO,2025-08-20 10:02:31
WTM,2025-08-20 10:02:31
EBR-B,2025-08-20 10:02:31
BLSH,2025-08-20 10:02:31
PVH,2025-08-20 10:02:31
PUK,2025-08-20 10:02:31
WFC,2025-08-20 10:02:31
CHYM,2025-08-20 10:02:31
CNH,2025-08-20 10:02:31
BGSF,2025-08-20 10:02:31
TLYS,2025-08-20 10:02:31
BE,2025-08-20 10:02:31
BBY,2025-08-20 10:02:31
BGS,2025-08-20 10:02:31
ITOS,2025-08-20 10:02:31
AL,2025-08-20 10:02:31
CVBF,2025-08-20 10:02:31
MG,2025-08-20 10:02:31
CRML,2025-08-20 10:02:31
QS,2025-08-20 10:02:31
BWLP,2025-08-20 10:02:31
JD,2025-08-20 10:02:31
FTK,2025-08-20 10:02:31
QXO,2025-08-20 10:02:31
FSBW,2025-08-20 10:02:31
KRUS,2025-08-20 10:02:31
GEV,2025-08-20 10:02:31
DXLG,2025-08-20 10:02:31
SPNT,2025-08-20 10:02:31
NVR,2025-08-20 10:02:31
LIF,2025-08-20 10:02:31
HLLY,2025-08-20 10:02:31
C,2025-08-20 10:02:31
NET,2025-08-20 10:02:31
ETSY,2025-08-20 10:02:31
MP,2025-08-20 10:02:31
DY,2025-08-20 10:02:31
EBMT,2025-08-20 10:02:31
RDDT,2025-08-20 10:02:31
BRK-B,2025-08-20 10:02:31
VHC,2025-08-20 10:02:31
CTRE,2025-08-20 10:02:31
LVWR,2025-08-20 10:02:31
SOS,2025-08-20 10:02:31
RYAN,2025-08-20 10:02:31
CTLP,2025-08-20 10:02:31
AWI,2025-08-20 10:02:31
SPNT-PB,2025-08-20 10:02:31
SBDS,2025-08-20 10:02:31
VST,2025-08-20 10:02:31
QUAD,2025-08-20 10:02:31
HHH,2025-08-20 10:02:31
GMS,2025-08-20 10:02:31
HYPD,2025-08-20 10:02:31
LIVN,2025-08-20 10:02:31
IRM,2025-08-20 10:02:31
CRM,2025-08-20 10:02:31
MSI,2025-08-20 10:02:31
PAC,2025-08-20 10:02:31
SREA,2025-08-20 10:02:31
UHAL-B,2025-08-20 10:02:31
OBK,2025-08-20 10:02:31
MTN,2025-08-20 10:02:31
TDS,2025-08-20 10:02:31
TRU,2025-08-20 10:02:31
NPB,2025-08-20 10:02:31
AAP,2025-08-20 10:02:31
NOW,2025-08-20 10:02:31
ATO,2025-08-20 10:02:31
PK,2025-08-20 10:02:31
HRTG,2025-08-20 10:02:31
MSM,2025-08-20 10:02:31
SHCO,2025-08-20 10:02:31
LUXE,2025-08-20 10:02:31
LUV,2025-08-20 10:02:31
PLYM,2025-08-20 10:02:31
CVEO,2025-08-20 10:02:31
UNFI,2025-08-20 10:02:31
RYN,2025-08-20 10:02:31
MSCI,2025-08-20 10:02:31
TRTN-PA,2025-08-20 10:02:31
BXP,2025-08-20 10:02:31
WNC,2025-08-20 10:02:31
FDP,2025-08-20 10:02:31
ARCO,2025-08-20 10:02:31
GL,2025-08-20 10:02:31
CMPR,2025-08-20 10:02:31
CRNT,2025-08-20 10:02:31
VMI,2025-08-20 10:02:31
DEA,2025-08-20 10:02:31
HAFN,2025-08-20 10:02:31
ABEO,2025-08-20 10:02:31
GSBD,2025-08-20 10:02:31
PRMB,2025-08-20 10:02:31
INGM,2025-08-20 10:02:31
BDX,2025-08-20 10:02:31
LSPD,2025-08-20 10:02:31
OEC,2025-08-20 10:02:31
LEVI,2025-08-20 10:02:31
SST,2025-08-20 10:02:31
ATI,2025-08-20 10:02:31
FTV,2025-08-20 10:02:31
ALGN,2025-08-20 10:02:31
LBRT,2025-08-20 10:02:31
LYV,2025-08-20 10:02:31
AVAL,2025-08-20 10:02:31
TG,2025-08-20 10:02:31
VTMX,2025-08-20 10:02:31
THS,2025-08-20 10:02:31
GFF,2025-08-20 10:02:31
TCI,2025-08-20 10:02:31
EDBL,2025-08-20 10:02:31
SRE,2025-08-20 10:02:31
PATH,2025-08-20 10:02:31
VLTO,2025-08-20 10:02:31
HVT,2025-08-20 10:02:31
TIXT,2025-08-20 10:02:31
OLO,2025-08-20 10:02:31
TPH,2025-08-20 10:02:31
AOUT,2025-08-20 10:02:31
FOUR,2025-08-20 10:02:31
MH,2025-08-20 10:02:31
DXYZ,2025-08-20 10:02:31
GSK,2025-08-20 10:02:31
NVT,2025-08-20 10:02:31
SONY,2025-08-20 10:02:31
ACI,2025-08-20 10:02:31
STNG,2025-08-20 10:02:31
MET,2025-08-20 10:02:31
CRI,2025-08-20 10:02:31
NVST,2025-08-20 10:02:31
KNX,2025-08-20 10:02:31
UAA,2025-08-20 10:02:31
NEE,2025-08-20 10:02:31
FSLY,2025-08-20 10:02:31
FSFG,2025-08-20 10:02:31
LXP,2025-08-20 10:02:31
AB,2025-08-20 10:02:31
BNED,2025-08-20 10:02:31
CAAP,2025-08-20 10:02:31
FLS,2025-08-20 10:02:31
FRME,2025-08-20 10:02:31
LVS,2025-08-20 10:02:31
BCBP,2025-08-20 10:02:31
GNL,2025-08-20 10:02:31
GOVX,2025-08-20 10:02:31
CON,2025-08-20 10:02:31
GBTG,2025-08-20 10:02:31
SW,2025-08-20 10:02:31
FORD,2025-08-20 10:02:31
CRH,2025-08-20 10:02:31
IX,2025-08-20 10:02:31
GROV,2025-08-20 10:02:31
NWG,2025-08-20 10:02:31
GS-PA,2025-08-20 10:02:31
GNK,2025-08-20 10:02:31
SSL,2025-08-20 10:02:31
JOUT,2025-08-20 10:02:31
STWD,2025-08-20 10:02:31
TBN,2025-08-20 10:02:31
AR,2025-08-20 10:02:31
INN,2025-08-20 10:02:31
WLY,2025-08-20 10:02:31
KRC,2025-08-20 10:02:31
DHR,2025-08-20 10:02:31
WS,2025-08-20 10:02:31
UNF,2025-08-20 10:02:31
TBB,2025-08-20 10:02:31
MGR,2025-08-20 10:02:31
VLRS,2025-08-20 10:02:31
TFC-PR,2025-08-20 10:02:31
SR-PA,2025-08-20 10:02:31
MOBX,2025-08-20 10:02:31
ED,2025-08-20 10:02:31
ALUR,2025-08-20 10:02:31
WY,2025-08-20 10:02:31
MRUS,2025-08-20 10:02:31
MHK,2025-08-20 10:02:31
CMC,2025-08-20 10:02:31
MDWD,2025-08-20 10:02:31
DOLE,2025-08-20 10:02:31
ELF,2025-08-20 10:02:31
TEL,2025-08-20 10:02:31
ROG,2025-08-20 10:02:31
EPR,2025-08-20 10:02:31
IBP,2025-08-20 10:02:31
BEN,2025-08-20 10:02:31
PBH,2025-08-20 10:02:31
DAVA,2025-08-20 10:02:31
AMC,2025-08-20 10:02:31
LITE,2025-08-20 10:02:31
HRB,2025-08-20 10:02:31
AAT,2025-08-20 10:02:31
CMSA,2025-08-20 10:02:31
EGO,2025-08-20 10:02:31
CR,2025-08-20 10:02:31
TGNA,2025-08-20 10:02:31
BWSN,2025-08-20 10:02:31
DAVE,2025-08-20 10:02:31
CURV,2025-08-20 10:02:31
CCAP,2025-08-20 10:02:31
SBH,2025-08-20 10:02:31
DRCT,2025-08-20 10:02:31
VVV,2025-08-20 10:02:31
AOMR,2025-08-20 10:02:31
BLCO,2025-08-20 10:02:31
GABC,2025-08-20 10:02:31
WAL,2025-08-20 10:02:31
CIM-PB,2025-08-20 10:02:31
UAN,2025-08-20 10:02:31
CSWC,2025-08-20 10:02:31
BSAC,2025-08-20 10:02:31
KLTO,2025-08-20 10:02:31
AVTR,2025-08-20 10:02:31
LADR,2025-08-20 10:02:31
FUL,2025-08-20 10:02:31
TDS-PU,2025-08-20 10:02:31
LTM,2025-08-20 10:02:31
ABOS,2025-08-20 10:02:31
ASLE,2025-08-20 10:02:31
ESRT,2025-08-20 10:02:31
BRID,2025-08-20 10:02:31
DLR-PK,2025-08-20 10:02:31
AM,2025-08-20 10:02:31
ADCT,2025-08-20 10:02:31
MS,2025-08-20 10:02:31
CE,2025-08-20 10:02:31
FCX,2025-08-20 10:02:31
AIRG,2025-08-20 10:02:31
BBUC,2025-08-20 10:02:31
CIVI,2025-08-20 10:02:31
KVYO,2025-08-20 10:02:31
BBVA,2025-08-20 10:02:31
NOV,2025-08-20 10:02:31
PDM,2025-08-20 10:02:31
AN,2025-08-20 10:02:31
DGICA,2025-08-20 10:02:31
DNB,2025-08-20 10:02:31
NTST,2025-08-20 10:02:31
BKV,2025-08-20 10:02:31
FF,2025-08-20 10:02:31
FC,2025-08-20 10:02:31
LAR,2025-08-20 10:02:31
PKE,2025-08-20 10:02:31
ENS,2025-08-20 10:02:31
FINV,2025-08-20 10:02:31
ALB,2025-08-20 10:02:31
HLIT,2025-08-20 10:02:31
NNN,2025-08-20 10:02:31
STZ,2025-08-20 10:02:31
CB,2025-08-20 10:02:31
HMN,2025-08-20 10:02:31
CIM,2025-08-20 10:02:31
MRP,2025-08-20 10:02:31
SLGN,2025-08-20 10:02:31
AHR,2025-08-20 10:02:31
J,2025-08-20 10:02:31
TECK,2025-08-20 10:02:31
CMSD,2025-08-20 10:02:31
CMP,2025-08-20 10:02:31
ELTX,2025-08-20 10:02:31
CMRE,2025-08-20 10:02:31
ONON,2025-08-20 10:02:31
CTW,2025-08-20 10:02:31
CMBT,2025-08-20 10:02:31
SLVM,2025-08-20 10:02:31
CVS,2025-08-20 10:02:31
EHC,2025-08-20 10:02:31
APO,2025-08-20 10:02:31
FBRT,2025-08-20 10:02:31
AMP,2025-08-20 10:02:31
CSV,2025-08-20 10:02:31
CISS,2025-08-20 10:02:31
AC,2025-08-20 10:02:31
INFY,2025-08-20 10:02:31
AMPY,2025-08-20 10:02:31
HOLX,2025-08-20 10:02:31
CBAN,2025-08-20 10:02:31
CADE-PA,2025-08-20 10:02:31
EIX,2025-08-20 10:02:31
MNSB,2025-08-20 10:02:31
MTH,2025-08-20 10:02:31
ERJ,2025-08-20 10:02:31
MO,2025-08-20 10:02:31
DQ,2025-08-20 10:02:31
MSAI,2025-08-20 10:02:31
DHT,2025-08-20 10:02:31
LPX,2025-08-20 10:02:31
ESAB,2025-08-20 10:02:31
IBM,2025-08-20 10:02:31
LDOS,2025-08-20 10:02:31
CMG,2025-08-20 10:02:31
ARX,2025-08-20 10:02:31
ALL,2025-08-20 10:02:31
NOMD,2025-08-20 10:02:31
FPI,2025-08-20 10:02:31
GRND,2025-08-20 10:02:31
SMG,2025-08-20 10:02:31
