date,revenue,net_income,operating_income,gross_profit,total_assets,current_assets,total_liabilities,current_liabilities,stockholders_equity,cash,long_term_debt,cost_of_revenue,operating_expenses,research_development
2007-09-29,,,,,,,,,,9.352,,,,
2008-06-28,,3.698,4.833,8.406,,,,,,9.373,,16.178,3.573,0.811
2008-09-27,,,,,39.572,32.311,18.542,14.092,21.03,11.875,,,,
2008-12-27,,2.255,3.101,4.507,,,,,,7.236,,7.373,1.406,0.315
2009-03-28,,3.875,5.424,8.134,,,,,,4.466,,12.83,2.71,0.634
2009-06-27,,5.703,2.632,12.117,48.14,35.17,22.252,16.661,25.888,5.605,,5.751,1.351,0.341
2009-09-26,,,,,47.501,31.555,15.861,11.506,31.64,5.263,,,,
2009-12-26,,3.378,4.725,6.411,53.926,33.332,18.158,13.097,35.768,7.609,,9.272,1.686,0.398
2010-03-27,,3.074,3.979,5.625,57.057,32.336,17.709,12.229,39.348,10.018,,7.874,1.646,0.426
2010-06-26,,9.705,4.234,18.172,64.725,36.033,21.614,15.612,43.111,9.705,,9.564,1.902,0.464
2010-09-25,,,,,75.183,41.678,27.392,20.722,47.791,11.261,,,,
2010-12-25,,6.004,7.827,10.298,86.742,43.927,32.076,23.795,54.666,10.734,,16.443,2.471,0.575
2011-03-26,,5.987,7.874,10.218,94.904,46.997,33.427,24.327,61.477,15.978,,14.449,2.344,0.581
2011-06-25,,7.308,9.379,11.922,106.758,46.898,37.415,26.859,69.343,12.091,,16.649,2.543,0.628
2011-09-24,,,,,116.371,44.988,39.756,27.97,76.615,9.815,,,,
2011-12-31,,13.064,17.34,20.703,138.681,54.771,48.627,34.607,90.054,10.31,,25.63,3.363,0.758
2012-03-31,,11.622,15.384,18.564,150.934,50.712,48.436,32.036,102.498,10.121,,20.622,3.18,0.841
2012-06-30,,33.51,11.573,54.261,162.896,51.943,51.15,33.06,111.746,7.945,,20.029,3.421,0.876
2012-09-29,,,,,176.064,57.653,57.854,38.542,118.21,10.746,0.0,,,
2012-12-29,,13.078,17.21,21.06,196.088,72.348,68.742,46.879,127.346,16.154,,33.452,3.85,1.01
2013-03-30,,22.625,29.768,37.409,194.743,63.337,59.253,35.508,135.49,12.053,,60.706,7.641,2.129
2013-06-29,,6.9,9.201,13.024,199.856,68.219,76.502,36.319,123.354,11.248,16.958,22.299,3.823,1.178
2013-09-28,,,,,207.0,73.286,83.451,43.658,123.549,14.259,16.96,,,
2013-12-28,,13.072,17.463,21.846,225.184,80.347,95.5,53.769,129.684,14.077,16.961,35.748,4.383,1.33
2014-03-29,,10.223,13.593,17.947,205.989,70.541,85.81,43.208,120.179,18.949,16.962,27.699,4.354,1.422
