ticker,reported_currency,is_foreign
A,USD,False
AAL,USD,False
AAOI,USD,False
AAON,USD,False
AAP,USD,False
AAPL,USD,False
AAT,USD,False
AAWW,USD,False
ABB,USD,False
ABBV,USD,False
ABC,USD,False
ABEV,BRL,True
ABG,USD,False
ABM,USD,False
ABMD,USD,False
ABR,USD,False
ABST,USD,False
ABT,USD,False
ABUS,USD,False
ACAD,USD,False
ACCO,USD,False
ACHC,USD,False
ACIW,USD,False
ACLS,USD,False
ACM,USD,False
ACN,USD,False
ACRS,USD,False
ACTG,USD,False
AD,USD,False
ADBE,USD,False
ADC,USD,False
ADEA,USD,False
ADI,USD,False
ADM,USD,False
ADMA,USD,False
ADP,USD,False
ADSK,USD,False
ADTN,USD,False
ADUS,USD,False
AEHR,USD,False
AEIS,USD,False
AEM,USD,False
AEO,USD,False
AER,USD,False
AG,USD,False
AGCO,USD,False
AGI,USD,False
AGIO,USD,False
AGNC,USD,False
AGRO,USD,False
AGX,USD,False
AGYS,USD,False
AHH,USD,False
AIC,CAD,True
AIMC,USD,False
AIN,USD,False
AIOT,USD,False
AIR,USD,False
AIT,USD,False
AIV,USD,False
AJRD,USD,False
AKAM,USD,False
AKBA,USD,False
AKR,USD,False
AL,USD,False
ALB,USD,False
ALBO,USD,False
ALEX,USD,False
ALG,USD,False
ALGN,USD,False
ALGT,USD,False
ALK,USD,False
ALKS,USD,False
ALLE,USD,False
ALLT,USD,False
ALNT,USD,False
ALNY,USD,False
ALPN,USD,False
ALRM,USD,False
ALSN,USD,False
ALV,USD,False
ALX,USD,False
AMAT,USD,False
AMBA,USD,False
AMC,USD,False
AMCR,USD,False
AMCX,USD,False
AMD,USD,False
AME,USD,False
AMED,USD,False
AMEH,USD,False
AMGN,USD,False
AMH,USD,False
AMKR,USD,False
AMN,USD,False
AMOT,USD,False
AMOV,MXN,True
AMPH,USD,False
AMRC,USD,False
AMRN,USD,False
AMSC,USD,False
AMT,USD,False
AMWD,USD,False
AMX,MXN,True
AMZN,USD,False
AN,USD,False
ANDE,USD,False
ANET,USD,False
ANF,USD,False
ANGI,USD,False
ANGO,USD,False
ANIP,USD,False
ANSS,USD,False
ANTM,USD,False
AORT,USD,False
AOS,USD,False
AOSL,USD,False
APA,USD,False
APD,USD,False
APEI,USD,False
APEN,USD,False
APH,USD,False
APLE,USD,False
APOG,USD,False
APPF,USD,False
APPS,USD,False
APTV,USD,False
AR,USD,False
ARCB,USD,False
ARCO,USD,False
ARDX,USD,False
ARE,USD,False
ARI,USD,False
ARLP,USD,False
ARMK,USD,False
ARMN,USD,False
AROC,USD,False
ARR,USD,False
ARW,USD,False
ARWR,USD,False
ASC,USD,False
ASGN,USD,False
ASH,USD,False
ASM,USD,False
ASML,EUR,True
ASND,EUR,True
ASR,MXN,True
ASTE,USD,False
ASTH,USD,False
ASX,TWD,True
ATEC,USD,False
ATEN,USD,False
ATEX,USD,False
ATGE,USD,False
ATHM,CNY,True
ATI,USD,False
ATNI,USD,False
