,date_month_end,hs_code_6d,expDlr,ticker,market_cap_billions,revenue_billions,revenue_ttm_billions,revenue_ttm_shift,PSR_ttm
0,2013-01-31,851762,1233740000.0,MMM,58.1,7.39,29.904,29.606,1.9624400459366345
1,2013-02-28,851762,1178980000.0,MMM,60.09,7.39,29.904,29.904,2.009430176565008
2,2013-03-31,851762,1378080000.0,MMM,61.42,7.63,30.052,29.904,2.0539058319957197
3,2013-04-30,851762,1284210000.0,MMM,60.25,7.63,30.052,29.904,2.014780631353665
4,2013-05-31,851762,1275680000.0,MMM,63.45,7.63,30.052,30.052,2.1113403434047653
5,2013-06-30,851762,1409940000.0,MMM,62.92,7.75,30.27,30.052,2.0937042459736457
6,2013-07-31,851762,1353230000.0,MMM,66.74,7.75,30.27,30.052,2.220817250099827
7,2013-08-31,851762,1300600000.0,MMM,64.55,7.75,30.27,30.27,2.1324743970928313
8,2013-09-30,851762,1272380000.0,MMM,66.74,7.92,30.689,30.27,2.2048232573505118
9,2013-10-31,851762,1395890000.0,MMM,70.34,7.92,30.689,30.27,2.3237528906508094
10,2013-11-30,851762,1296890000.0,MMM,74.62,7.92,30.689,30.689,2.4314901104630327
11,2013-12-31,851762,1481140000.0,MMM,77.57,7.57,30.871,30.689,2.5276157580892176
12,2014-01-31,851762,1409940000.0,MMM,70.9,7.57,30.871,30.689,2.310274039558148
13,2014-02-28,851762,1343480000.0,MMM,74.51,7.57,30.871,30.871,2.4135920443134338
14,2014-03-31,851762,1441560000.0,MMM,73.95,7.83,31.068,30.871,2.395452042369862
15,2014-04-30,851762,1340390000.0,MMM,75.82,7.83,31.068,30.871,2.4560266917171454
16,2014-05-31,851762,1330520000.0,MMM,77.71,7.83,31.068,31.068,2.5012874983906266
17,2014-06-30,851762,1363090000.0,MMM,77.28,8.13,31.45,31.068,2.4874468906913867
18,2014-07-31,851762,1380130000.0,MMM,76.01,8.13,31.45,31.068,2.446568816788979
19,2014-08-31,851762,1406240000.0,MMM,77.69,8.13,31.45,31.45,2.4702702702702704
20,2014-09-30,851762,1537320000.0,MMM,75.57,8.14,31.671,31.45,2.402861685214626
21,2014-10-31,851762,1600660000.0,MMM,82.01,8.14,31.671,31.45,2.6076311605723372
